,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4513,0.2379,0.1168,0.1255,0.5548,0.2770,-0.0291,-0.0203,0.0325,0.1292,-0.0348
ret_5d,0.4513,1.0000,0.5094,0.2519,0.4974,0.8721,0.5673,-0.0121,0.0178,0.0289,0.2653,-0.0771
ret_21d,0.2379,0.5094,1.0000,0.4673,0.8713,0.6505,0.8671,0.0555,0.0216,0.0080,0.4571,-0.1389
ret_126d,0.1168,0.2519,0.4673,1.0000,0.4509,0.3148,0.6957,0.0327,0.0109,-0.0042,0.7434,-0.2708
macd_8_24,0.1255,0.4974,0.8713,0.4509,1.0000,0.6435,0.8506,0.0502,0.0402,0.0097,0.4473,-0.1233
rsi_5,0.5548,0.8721,0.6505,0.3148,0.6435,1.0000,0.6873,-0.0107,0.0127,0.0378,0.3306,-0.1012
rsi_30,0.2770,0.5673,0.8671,0.6957,0.8506,0.6873,1.0000,0.0473,0.0321,0.0106,0.6603,-0.2045
atr_norm,-0.0291,-0.0121,0.0555,0.0327,0.0502,-0.0107,0.0473,1.0000,0.4439,-0.0178,0.0333,-0.0325
vol_norm,-0.0203,0.0178,0.0216,0.0109,0.0402,0.0127,0.0321,0.4439,1.0000,-0.0018,0.0202,-0.0991
oi_chg,0.0325,0.0289,0.0080,-0.0042,0.0097,0.0378,0.0106,-0.0178,-0.0018,1.0000,0.0045,0.0004
drawdown,0.1292,0.2653,0.4571,0.7434,0.4473,0.3306,0.6603,0.0333,0.0202,0.0045,1.0000,-0.1431
days_to_roll,-0.0348,-0.0771,-0.1389,-0.2708,-0.1233,-0.1012,-0.2045,-0.0325,-0.0991,0.0004,-0.1431,1.0000
