,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0202,0.9864,-3.7821,4.8947,0.0000,0.0000,0.0329
ret_5d,0.0405,1.0509,-4.6136,4.3952,0.0000,0.0000,0.0029
ret_21d,0.0606,1.0460,-3.8888,3.2950,0.0000,0.0000,0.0005
ret_126d,0.0573,1.0103,-3.2621,2.3981,0.0000,0.0000,0.0000
macd_8_24,0.0862,1.0866,-3.4919,3.8172,0.0000,0.0000,0.0000
rsi_5,0.0128,0.4316,-0.9735,0.9859,0.0000,0.0000,0.0000
rsi_30,0.0134,0.1723,-0.5300,0.5568,0.0000,0.0000,0.0000
atr_norm,1.0024,0.0611,0.7248,1.3546,0.0000,0.0000,0.0000
vol_norm,1.0422,0.6737,0.0000,20.0000,0.0000,0.0000,0.0041
oi_chg,0.0020,0.1194,-1.0000,5.0000,0.0000,0.0000,0.0100
drawdown,-0.1419,0.1232,-0.6196,0.0000,0.0000,0.0000,0.0537
days_to_roll,0.2424,0.3499,-0.5000,0.5000,0.0000,0.0000,0.0066
