,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4549,0.2344,0.1072,0.1161,0.5628,0.2777,-0.1006,-0.0549,-0.0194,0.1335,-0.0069
ret_5d,0.4549,1.0000,0.5051,0.2322,0.4842,0.8756,0.5651,-0.0029,-0.0440,0.0173,0.2747,-0.0061
ret_21d,0.2344,0.5051,1.0000,0.4340,0.8675,0.6496,0.8638,0.1005,0.0364,-0.0101,0.4659,-0.0049
ret_126d,0.1072,0.2322,0.4340,1.0000,0.4372,0.2880,0.6677,0.0466,0.0161,-0.0124,0.7643,0.0060
macd_8_24,0.1161,0.4842,0.8675,0.4372,1.0000,0.6282,0.8553,0.1156,0.0393,-0.0013,0.4790,-0.0005
rsi_5,0.5628,0.8756,0.6496,0.2880,0.6282,1.0000,0.6872,-0.0007,-0.0377,0.0072,0.3384,-0.0039
rsi_30,0.2777,0.5651,0.8638,0.6677,0.8553,0.6872,1.0000,0.0701,0.0174,-0.0112,0.6719,-0.0035
atr_norm,-0.1006,-0.0029,0.1005,0.0466,0.1156,-0.0007,0.0701,1.0000,0.3983,-0.0134,0.0482,-0.0076
vol_norm,-0.0549,-0.0440,0.0364,0.0161,0.0393,-0.0377,0.0174,0.3983,1.0000,0.0104,0.0269,-0.0302
oi_chg,-0.0194,0.0173,-0.0101,-0.0124,-0.0013,0.0072,-0.0112,-0.0134,0.0104,1.0000,-0.0164,0.0137
drawdown,0.1335,0.2747,0.4659,0.7643,0.4790,0.3384,0.6719,0.0482,0.0269,-0.0164,1.0000,-0.0020
days_to_roll,-0.0069,-0.0061,-0.0049,0.0060,-0.0005,-0.0039,-0.0035,-0.0076,-0.0302,0.0137,-0.0020,1.0000
