,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0307,0.9775,-4.2945,3.7146,0.0000,0.0000,0.0178
ret_5d,0.0817,0.9276,-4.3398,3.0464,0.0000,0.0000,0.0065
ret_21d,0.2071,0.8660,-3.2673,3.1756,0.0000,0.0000,0.0032
ret_126d,0.4452,0.8317,-1.9721,3.0737,0.0000,0.0000,0.0000
macd_8_24,0.2275,1.0672,-3.8454,3.0707,0.0000,0.0000,0.0000
rsi_5,0.0880,0.3820,-0.9233,0.9078,0.0000,0.0000,0.0000
rsi_30,0.0563,0.1437,-0.6010,0.4540,0.0000,0.0000,0.0000
atr_norm,1.0111,0.4747,0.0000,6.0204,0.0000,0.0000,0.0004
vol_norm,1.1022,1.3765,0.0000,12.3360,0.0000,0.0000,0.0032
oi_chg,0.0097,0.2370,-1.0000,5.0000,0.0000,0.0000,0.0454
drawdown,-0.0512,0.0673,-0.4370,0.0000,0.0000,0.0000,0.1041
days_to_roll,0.1237,0.3365,-0.5000,0.5778,0.0000,0.0000,0.0002
