,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4437,0.2288,0.1037,0.1045,0.5358,0.2630,-0.1976,-0.2394,0.0297,0.1400,-0.0001
ret_5d,0.4437,1.0000,0.4978,0.2403,0.4731,0.8642,0.5494,-0.3576,-0.3473,0.0033,0.2864,-0.0133
ret_21d,0.2288,0.4978,1.0000,0.4706,0.8844,0.6706,0.8597,-0.1414,-0.0750,0.0009,0.4921,-0.0214
ret_126d,0.1037,0.2403,0.4706,1.0000,0.4790,0.3242,0.6954,-0.0059,0.0087,-0.0136,0.6772,0.0035
macd_8_24,0.1045,0.4731,0.8844,0.4790,1.0000,0.6398,0.8502,-0.1647,-0.0822,-0.0017,0.5152,-0.0193
rsi_5,0.5358,0.8642,0.6706,0.3242,0.6398,1.0000,0.7009,-0.3635,-0.3322,0.0103,0.3727,-0.0293
rsi_30,0.2630,0.5494,0.8597,0.6954,0.8502,0.7009,1.0000,-0.1415,-0.0866,-0.0070,0.6618,-0.0145
atr_norm,-0.1976,-0.3576,-0.1414,-0.0059,-0.1647,-0.3635,-0.1415,1.0000,0.5812,0.0140,-0.0558,0.0212
vol_norm,-0.2394,-0.3473,-0.0750,0.0087,-0.0822,-0.3322,-0.0866,0.5812,1.0000,0.0525,-0.0165,0.0304
oi_chg,0.0297,0.0033,0.0009,-0.0136,-0.0017,0.0103,-0.0070,0.0140,0.0525,1.0000,-0.0073,-0.0125
drawdown,0.1400,0.2864,0.4921,0.6772,0.5152,0.3727,0.6618,-0.0558,-0.0165,-0.0073,1.0000,-0.0129
days_to_roll,-0.0001,-0.0133,-0.0214,0.0035,-0.0193,-0.0293,-0.0145,0.0212,0.0304,-0.0125,-0.0129,1.0000
