,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,-0.0050,0.9793,-4.9377,3.5381,0.0000,0.0000,0.0064
ret_5d,-0.0097,0.9845,-4.2659,3.2773,0.0000,0.0000,0.0030
ret_21d,-0.0128,0.9728,-3.8224,3.5061,0.0000,0.0000,0.0005
ret_126d,0.0220,0.9500,-2.7272,3.2773,0.0000,0.0000,0.0000
macd_8_24,0.0076,1.0564,-3.2308,2.7000,0.0000,0.0000,0.0000
rsi_5,0.0003,0.3978,-0.9675,0.9273,0.0000,0.0000,0.0000
rsi_30,-0.0017,0.1586,-0.5635,0.5995,0.0000,0.0000,0.0000
atr_norm,1.0038,0.3907,0.2440,6.7972,0.0000,0.0000,0.0000
vol_norm,1.0145,0.3760,0.0000,5.0009,0.0000,0.0000,0.0007
oi_chg,0.0031,0.1079,-1.0000,5.0000,0.0000,0.0000,0.0070
drawdown,-0.0440,0.0435,-0.2964,0.0000,0.0000,0.0000,0.0453
days_to_roll,0.2978,0.3081,-0.5000,0.5111,0.0000,0.0000,0.0039
