,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4521,0.2370,0.1094,0.1258,0.5499,0.2708,-0.1194,-0.0172,0.0882,0.1121,-0.0047
ret_5d,0.4521,1.0000,0.5152,0.2439,0.4960,0.8752,0.5606,-0.0955,-0.0244,0.0780,0.2342,0.0208
ret_21d,0.2370,0.5152,1.0000,0.4547,0.8893,0.6764,0.8710,0.0099,0.0268,0.0512,0.4223,-0.0154
ret_126d,0.1094,0.2439,0.4547,1.0000,0.4367,0.3259,0.6829,0.0323,-0.0003,-0.0119,0.7564,0.0007
macd_8_24,0.1258,0.4960,0.8893,0.4367,1.0000,0.6601,0.8470,0.0163,0.0247,0.0542,0.4296,-0.0154
rsi_5,0.5499,0.8752,0.6764,0.3259,0.6601,1.0000,0.7009,-0.1110,-0.0170,0.1000,0.3054,0.0066
rsi_30,0.2708,0.5606,0.8710,0.6829,0.8470,0.7009,1.0000,0.0094,0.0085,0.0471,0.6327,-0.0020
atr_norm,-0.1194,-0.0955,0.0099,0.0323,0.0163,-0.1110,0.0094,1.0000,0.3308,0.0525,0.0148,-0.0109
vol_norm,-0.0172,-0.0244,0.0268,-0.0003,0.0247,-0.0170,0.0085,0.3308,1.0000,0.0434,0.0149,-0.0139
oi_chg,0.0882,0.0780,0.0512,-0.0119,0.0542,0.1000,0.0471,0.0525,0.0434,1.0000,0.0210,-0.0140
drawdown,0.1121,0.2342,0.4223,0.7564,0.4296,0.3054,0.6327,0.0148,0.0149,0.0210,1.0000,-0.0091
days_to_roll,-0.0047,0.0208,-0.0154,0.0007,-0.0154,0.0066,-0.0020,-0.0109,-0.0139,-0.0140,-0.0091,1.0000
