,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4485,0.2282,0.1063,0.1152,0.5588,0.2719,0.1398,0.0314,0.0162,0.1311,-0.0099
ret_5d,0.4485,1.0000,0.4898,0.2330,0.4842,0.8734,0.5556,0.2403,0.0693,-0.0013,0.2660,-0.0094
ret_21d,0.2282,0.4898,1.0000,0.4414,0.8655,0.6445,0.8540,0.1691,0.0427,-0.0028,0.4521,-0.0482
ret_126d,0.1063,0.2330,0.4414,1.0000,0.4742,0.2965,0.6825,0.0758,0.0168,-0.0099,0.6335,-0.1477
macd_8_24,0.1152,0.4842,0.8655,0.4742,1.0000,0.6310,0.8497,0.1845,0.0259,-0.0095,0.4802,-0.0391
rsi_5,0.5588,0.8734,0.6445,0.2965,0.6310,1.0000,0.6840,0.2445,0.0648,0.0044,0.3331,-0.0117
rsi_30,0.2719,0.5556,0.8540,0.6825,0.8497,0.6840,1.0000,0.1728,0.0406,-0.0059,0.6356,-0.0888
atr_norm,0.1398,0.2403,0.1691,0.0758,0.1845,0.2445,0.1728,1.0000,0.2497,0.0054,0.0988,0.0090
vol_norm,0.0314,0.0693,0.0427,0.0168,0.0259,0.0648,0.0406,0.2497,1.0000,0.0051,0.0241,-0.1213
oi_chg,0.0162,-0.0013,-0.0028,-0.0099,-0.0095,0.0044,-0.0059,0.0054,0.0051,1.0000,0.0049,0.0015
drawdown,0.1311,0.2660,0.4521,0.6335,0.4802,0.3331,0.6356,0.0988,0.0241,0.0049,1.0000,-0.2656
days_to_roll,-0.0099,-0.0094,-0.0482,-0.1477,-0.0391,-0.0117,-0.0888,0.0090,-0.1213,0.0015,-0.2656,1.0000
