,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0459,0.9813,-4.7487,3.7229,0.0000,0.0000,0.0266
ret_5d,0.1168,0.9280,-4.3022,3.1613,0.0000,0.0000,0.0036
ret_21d,0.2856,0.8663,-2.5119,3.5711,0.0000,0.0000,0.0009
ret_126d,0.6524,0.8844,-2.2839,3.8271,0.0000,0.0000,0.0000
macd_8_24,0.3387,1.0907,-3.1862,4.1745,0.0000,0.0000,0.0000
rsi_5,0.1180,0.3920,-0.9408,0.9152,0.0000,0.0000,0.0000
rsi_30,0.0829,0.1531,-0.4467,0.6350,0.0000,0.0000,0.0000
atr_norm,1.0038,0.1310,0.3280,3.0297,0.0000,0.0000,0.0000
vol_norm,1.0144,0.3609,0.0000,3.6781,0.0000,0.0000,0.0009
oi_chg,0.0025,0.1031,-1.0000,5.0000,0.0000,0.0000,0.0080
drawdown,-0.0427,0.0651,-0.4784,0.0000,0.0000,0.0000,0.1400
days_to_roll,0.0011,0.2935,-0.5000,0.5778,0.0000,0.0000,0.0002
