,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,-0.0030,0.9838,-4.0593,5.0620,0.0000,0.0000,0.0149
ret_5d,-0.0106,1.1173,-3.6347,5.3010,0.0000,0.0000,0.0048
ret_21d,-0.0357,1.2344,-4.0265,5.7782,0.0000,0.0000,0.0013
ret_126d,-0.2206,1.2440,-4.3283,4.8597,0.0000,0.0000,0.0002
macd_8_24,-0.0513,1.0879,-4.2691,3.1176,0.0000,0.0000,0.0000
rsi_5,-0.0262,0.4421,-0.9694,0.9931,0.0000,0.0000,0.0000
rsi_30,-0.0176,0.1942,-0.5323,0.8034,0.0000,0.0000,0.0000
atr_norm,1.0019,0.4022,0.0278,7.0545,0.0000,0.0000,0.0000
vol_norm,1.0268,0.7310,0.0000,10.9482,0.0000,0.0000,0.0055
oi_chg,0.0014,0.0995,-0.9930,5.0000,0.0000,0.0000,0.0115
drawdown,-0.1795,0.1433,-0.7303,0.0000,0.0000,0.0000,0.0485
days_to_roll,0.1462,0.3659,-0.5000,0.8556,0.0000,0.0000,0.0089
