,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4839,0.2541,0.1217,0.1534,0.5752,0.2903,0.0697,0.0461,0.0306,0.1309,0.0291
ret_5d,0.4839,1.0000,0.5415,0.2600,0.5092,0.8840,0.5820,0.1434,0.0556,-0.0019,0.2727,0.0626
ret_21d,0.2541,0.5415,1.0000,0.4630,0.8649,0.6662,0.8754,0.0722,0.0153,-0.0016,0.4793,0.1243
ret_126d,0.1217,0.2600,0.4630,1.0000,0.4419,0.3101,0.6919,0.0642,0.0015,-0.0006,0.7166,0.1960
macd_8_24,0.1534,0.5092,0.8649,0.4419,1.0000,0.6574,0.8378,0.0607,0.0039,0.0068,0.4703,0.1050
rsi_5,0.5752,0.8840,0.6662,0.3101,0.6574,1.0000,0.6915,0.1588,0.0583,0.0101,0.3406,0.0893
rsi_30,0.2903,0.5820,0.8754,0.6919,0.8378,0.6915,1.0000,0.0982,0.0169,0.0054,0.6743,0.1627
atr_norm,0.0697,0.1434,0.0722,0.0642,0.0607,0.1588,0.0982,1.0000,0.2314,-0.0194,0.0656,0.0361
vol_norm,0.0461,0.0556,0.0153,0.0015,0.0039,0.0583,0.0169,0.2314,1.0000,0.0413,-0.0037,-0.0019
oi_chg,0.0306,-0.0019,-0.0016,-0.0006,0.0068,0.0101,0.0054,-0.0194,0.0413,1.0000,0.0121,0.0104
drawdown,0.1309,0.2727,0.4793,0.7166,0.4703,0.3406,0.6743,0.0656,-0.0037,0.0121,1.0000,-0.0126
days_to_roll,0.0291,0.0626,0.1243,0.1960,0.1050,0.0893,0.1627,0.0361,-0.0019,0.0104,-0.0126,1.0000
