,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4381,0.2288,0.1024,0.1017,0.5350,0.2661,0.1288,-0.2201,0.0217,0.1259,0.0031
ret_5d,0.4381,1.0000,0.4933,0.2411,0.4691,0.8539,0.5506,-0.0173,-0.3591,-0.0129,0.2634,-0.0127
ret_21d,0.2288,0.4933,1.0000,0.4802,0.8795,0.6686,0.8555,0.0501,-0.1401,-0.0016,0.4741,-0.0205
ret_126d,0.1024,0.2411,0.4802,1.0000,0.5136,0.3226,0.7094,0.0367,-0.0276,0.0004,0.7065,0.0104
macd_8_24,0.1017,0.4691,0.8795,0.5136,1.0000,0.6297,0.8553,0.0037,-0.1470,-0.0041,0.5009,-0.0174
rsi_5,0.5350,0.8539,0.6686,0.3226,0.6297,1.0000,0.7002,0.0170,-0.3439,-0.0056,0.3537,-0.0177
rsi_30,0.2661,0.5506,0.8555,0.7094,0.8553,0.7002,1.0000,0.0410,-0.1413,-0.0076,0.6544,-0.0039
atr_norm,0.1288,-0.0173,0.0501,0.0367,0.0037,0.0170,0.0410,1.0000,0.1173,0.0202,0.0520,0.0214
vol_norm,-0.2201,-0.3591,-0.1401,-0.0276,-0.1470,-0.3439,-0.1413,0.1173,1.0000,0.0929,-0.0409,0.0020
oi_chg,0.0217,-0.0129,-0.0016,0.0004,-0.0041,-0.0056,-0.0076,0.0202,0.0929,1.0000,0.0022,-0.0269
drawdown,0.1259,0.2634,0.4741,0.7065,0.5009,0.3537,0.6544,0.0520,-0.0409,0.0022,1.0000,-0.0076
days_to_roll,0.0031,-0.0127,-0.0205,0.0104,-0.0174,-0.0177,-0.0039,0.0214,0.0020,-0.0269,-0.0076,1.0000
