,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4359,0.2254,0.0941,0.0981,0.5423,0.2638,-0.2207,-0.1331,-0.0249,0.1262,0.0132
ret_5d,0.4359,1.0000,0.4823,0.2141,0.4707,0.8548,0.5436,-0.3952,-0.2299,-0.0196,0.2658,0.0227
ret_21d,0.2254,0.4823,1.0000,0.4500,0.8756,0.6579,0.8492,-0.1986,-0.1118,0.0147,0.4858,0.0484
ret_126d,0.0941,0.2141,0.4500,1.0000,0.4809,0.2913,0.6943,-0.0297,-0.0121,0.0112,0.7507,0.0839
macd_8_24,0.0981,0.4707,0.8756,0.4809,1.0000,0.6267,0.8603,-0.2173,-0.1218,0.0107,0.5281,0.0319
rsi_5,0.5423,0.8548,0.6579,0.2913,0.6267,1.0000,0.6867,-0.3973,-0.2134,-0.0195,0.3568,0.0377
rsi_30,0.2638,0.5436,0.8492,0.6943,0.8603,0.6867,1.0000,-0.2002,-0.1061,0.0056,0.6911,0.0670
atr_norm,-0.2207,-0.3952,-0.1986,-0.0297,-0.2173,-0.3973,-0.2002,1.0000,0.3153,0.0255,-0.0572,0.0152
vol_norm,-0.1331,-0.2299,-0.1118,-0.0121,-0.1218,-0.2134,-0.1061,0.3153,1.0000,0.0471,-0.0176,0.0349
oi_chg,-0.0249,-0.0196,0.0147,0.0112,0.0107,-0.0195,0.0056,0.0255,0.0471,1.0000,0.0066,-0.0328
drawdown,0.1262,0.2658,0.4858,0.7507,0.5281,0.3568,0.6911,-0.0572,-0.0176,0.0066,1.0000,0.1265
days_to_roll,0.0132,0.0227,0.0484,0.0839,0.0319,0.0377,0.0670,0.0152,0.0349,-0.0328,0.1265,1.0000
