,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4426,0.2244,0.1020,0.1025,0.5498,0.2671,-0.1673,-0.1282,-0.0247,0.1255,-0.0130
ret_5d,0.4426,1.0000,0.4825,0.2250,0.4703,0.8679,0.5511,-0.3135,-0.2111,0.0119,0.2623,-0.0474
ret_21d,0.2244,0.4825,1.0000,0.4304,0.8769,0.6442,0.8549,-0.1549,-0.0681,0.0179,0.4758,-0.0578
ret_126d,0.1020,0.2250,0.4304,1.0000,0.4361,0.2942,0.6613,-0.0203,-0.0089,0.0203,0.7514,-0.0551
macd_8_24,0.1025,0.4703,0.8769,0.4361,1.0000,0.6185,0.8490,-0.1765,-0.0751,0.0150,0.5047,-0.0606
rsi_5,0.5498,0.8679,0.6442,0.2942,0.6185,1.0000,0.6862,-0.3292,-0.2058,0.0037,0.3390,-0.0557
rsi_30,0.2671,0.5511,0.8549,0.6613,0.8490,0.6862,1.0000,-0.1626,-0.0774,0.0213,0.6833,-0.0752
atr_norm,-0.1673,-0.3135,-0.1549,-0.0203,-0.1765,-0.3292,-0.1626,1.0000,0.3835,0.0155,-0.0364,0.0252
vol_norm,-0.1282,-0.2111,-0.0681,-0.0089,-0.0751,-0.2058,-0.0774,0.3835,1.0000,0.1949,-0.0161,0.0768
oi_chg,-0.0247,0.0119,0.0179,0.0203,0.0150,0.0037,0.0213,0.0155,0.1949,1.0000,0.0181,0.0492
drawdown,0.1255,0.2623,0.4758,0.7514,0.5047,0.3390,0.6833,-0.0364,-0.0161,0.0181,1.0000,-0.1276
days_to_roll,-0.0130,-0.0474,-0.0578,-0.0551,-0.0606,-0.0557,-0.0752,0.0252,0.0768,0.0492,-0.1276,1.0000
