,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4584,0.2405,0.1155,0.1319,0.5563,0.2711,0.0490,0.0304,0.0196,0.1515,0.0000
ret_5d,0.4584,1.0000,0.5243,0.2545,0.4995,0.8793,0.5613,0.1046,0.0393,0.0246,0.3152,-0.0144
ret_21d,0.2405,0.5243,1.0000,0.4754,0.8662,0.6791,0.8704,0.1072,0.0002,0.0279,0.5481,-0.0209
ret_126d,0.1155,0.2545,0.4754,1.0000,0.4871,0.3283,0.7078,0.0554,-0.0341,0.0207,0.7754,-0.0224
macd_8_24,0.1319,0.4995,0.8662,0.4871,1.0000,0.6595,0.8514,0.1063,-0.0081,0.0200,0.5570,-0.0170
rsi_5,0.5563,0.8793,0.6791,0.3283,0.6595,1.0000,0.6979,0.1107,0.0207,0.0341,0.3998,-0.0131
rsi_30,0.2711,0.5613,0.8704,0.7078,0.8514,0.6979,1.0000,0.1102,-0.0091,0.0267,0.7528,-0.0205
atr_norm,0.0490,0.1046,0.1072,0.0554,0.1063,0.1107,0.1102,1.0000,0.3309,0.0037,0.0684,-0.0210
vol_norm,0.0304,0.0393,0.0002,-0.0341,-0.0081,0.0207,-0.0091,0.3309,1.0000,0.0149,0.0021,0.0001
oi_chg,0.0196,0.0246,0.0279,0.0207,0.0200,0.0341,0.0267,0.0037,0.0149,1.0000,0.0227,0.0047
drawdown,0.1515,0.3152,0.5481,0.7754,0.5570,0.3998,0.7528,0.0684,0.0021,0.0227,1.0000,-0.0072
days_to_roll,0.0000,-0.0144,-0.0209,-0.0224,-0.0170,-0.0131,-0.0205,-0.0210,0.0001,0.0047,-0.0072,1.0000
