,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0049,0.9817,-4.7829,3.2250,0.0000,0.0000,0.0102
ret_5d,0.0151,0.9820,-4.9135,3.7719,0.0000,0.0000,0.0039
ret_21d,0.0409,0.9641,-3.4768,2.7503,0.0000,0.0000,0.0029
ret_126d,0.1151,0.9337,-2.7610,3.2190,0.0000,0.0000,0.0007
macd_8_24,0.0501,1.0591,-3.2515,3.2283,0.0000,0.0000,0.0000
rsi_5,0.0226,0.3973,-0.9832,0.9283,0.0000,0.0000,0.0000
rsi_30,0.0121,0.1590,-0.6300,0.5097,0.0000,0.0000,0.0000
atr_norm,1.0047,0.3829,0.2131,4.7850,0.0000,0.0000,0.0000
vol_norm,1.0158,0.3806,0.0000,3.9154,0.0000,0.0000,0.0007
oi_chg,0.0026,0.0856,-1.0000,5.0000,0.0000,0.0000,0.0078
drawdown,-0.0486,0.0493,-0.3699,0.0000,0.0000,0.0000,0.0587
days_to_roll,-0.0010,0.2929,-0.5000,0.5222,0.0000,0.0000,0.0105
