,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4551,0.2270,0.1009,0.1181,0.5444,0.2670,-0.0373,-0.0345,-0.0016,0.1321,-0.0390
ret_5d,0.4551,1.0000,0.5086,0.2291,0.4816,0.8689,0.5552,-0.0606,0.0188,0.0035,0.2793,-0.0765
ret_21d,0.2270,0.5086,1.0000,0.4434,0.8817,0.6714,0.8641,-0.0339,0.0325,0.0043,0.4800,-0.0971
ret_126d,0.1009,0.2291,0.4434,1.0000,0.4781,0.3136,0.6921,-0.0235,0.0047,-0.0130,0.7086,-0.1678
macd_8_24,0.1181,0.4816,0.8817,0.4781,1.0000,0.6540,0.8634,-0.0413,0.0338,-0.0011,0.4945,-0.1352
rsi_5,0.5444,0.8689,0.6714,0.3136,0.6540,1.0000,0.7029,-0.0810,0.0086,-0.0057,0.3746,-0.1016
rsi_30,0.2670,0.5552,0.8641,0.6921,0.8634,0.7029,1.0000,-0.0384,0.0305,-0.0047,0.6674,-0.1357
atr_norm,-0.0373,-0.0606,-0.0339,-0.0235,-0.0413,-0.0810,-0.0384,1.0000,0.2208,0.0012,-0.0158,0.0312
vol_norm,-0.0345,0.0188,0.0325,0.0047,0.0338,0.0086,0.0305,0.2208,1.0000,0.0556,0.0196,0.0562
oi_chg,-0.0016,0.0035,0.0043,-0.0130,-0.0011,-0.0057,-0.0047,0.0012,0.0556,1.0000,-0.0015,-0.0180
drawdown,0.1321,0.2793,0.4800,0.7086,0.4945,0.3746,0.6674,-0.0158,0.0196,-0.0015,1.0000,-0.1431
days_to_roll,-0.0390,-0.0765,-0.0971,-0.1678,-0.1352,-0.1016,-0.1357,0.0312,0.0562,-0.0180,-0.1431,1.0000
