,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4573,0.2225,0.1070,0.1127,0.5554,0.2691,0.0677,0.0169,0.0215,0.1695,-0.0043
ret_5d,0.4573,1.0000,0.4847,0.2320,0.4787,0.8790,0.5546,0.2292,0.0592,0.0109,0.3529,-0.0142
ret_21d,0.2225,0.4847,1.0000,0.4384,0.8782,0.6417,0.8554,0.1778,0.0166,0.0181,0.6164,-0.0051
ret_126d,0.1070,0.2320,0.4384,1.0000,0.5033,0.3058,0.6971,0.0709,0.0019,0.0022,0.7917,-0.0524
macd_8_24,0.1127,0.4787,0.8782,0.5033,1.0000,0.6290,0.8792,0.2028,0.0309,-0.0001,0.6664,-0.0188
rsi_5,0.5554,0.8790,0.6417,0.3058,0.6290,1.0000,0.6898,0.2318,0.0500,0.0120,0.4548,-0.0216
rsi_30,0.2691,0.5546,0.8554,0.6971,0.8792,0.6898,1.0000,0.1817,0.0216,0.0141,0.8338,-0.0230
atr_norm,0.0677,0.2292,0.1778,0.0709,0.2028,0.2318,0.1817,1.0000,0.2838,0.0120,0.1103,0.0129
vol_norm,0.0169,0.0592,0.0166,0.0019,0.0309,0.0500,0.0216,0.2838,1.0000,0.0201,0.0073,-0.0603
oi_chg,0.0215,0.0109,0.0181,0.0022,-0.0001,0.0120,0.0141,0.0120,0.0201,1.0000,0.0148,-0.0011
drawdown,0.1695,0.3529,0.6164,0.7917,0.6664,0.4548,0.8338,0.1103,0.0073,0.0148,1.0000,-0.0346
days_to_roll,-0.0043,-0.0142,-0.0051,-0.0524,-0.0188,-0.0216,-0.0230,0.0129,-0.0603,-0.0011,-0.0346,1.0000
