ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,gap
1.000000000000000000e+00,4.489587047107757578e-01,2.304548819720619035e-01,1.055393442496531248e-01,1.174941170798714657e-01,5.475755222201217354e-01,2.678042159849402526e-01,2.793151487932759094e-02,-4.279431684680497922e-02,3.189880573342884079e-02,1.295870446319888902e-01,2.664636985950293302e-01
4.489587047107757578e-01,1.000000000000000000e+00,5.036554373093288239e-01,2.342897076984935267e-01,4.853539935222981883e-01,8.717618861163161093e-01,5.560051963087125904e-01,6.590689567319919784e-02,-5.797585234621474570e-02,2.887316720996822503e-02,2.733859933092430139e-01,1.307003009064316712e-01
2.304548819720619035e-01,5.036554373093288239e-01,1.000000000000000000e+00,4.478080305643478698e-01,8.806259031394619852e-01,6.647952913822665622e-01,8.627965720952670559e-01,1.219908300209522761e-01,-1.525041585898540865e-02,2.077574000645776575e-02,4.905733021154954909e-01,9.668194007145801405e-02
1.055393442496531525e-01,2.342897076984935267e-01,4.478080305643478698e-01,1.000000000000000000e+00,4.538541486736438202e-01,3.102630239989351835e-01,6.915500401862687552e-01,7.256308583628695574e-02,1.954691106130046312e-03,6.413412714665779092e-03,7.657107785324449578e-01,9.749052497013888097e-02
1.174941170798714934e-01,4.853539935222981883e-01,8.806259031394619852e-01,4.538541486736438202e-01,1.000000000000000000e+00,6.478533598026637863e-01,8.539666423583630595e-01,1.188668013142380325e-01,-1.135080597593866002e-02,1.868432161347472267e-02,5.050848702928097955e-01,6.480150492820480057e-02
5.475755222201217354e-01,8.717618861163161093e-01,6.647952913822665622e-01,3.102630239989351835e-01,6.478533598026637863e-01,1.000000000000000000e+00,6.967332325850176256e-01,8.815610467566652175e-02,-5.197526789904224204e-02,3.384696279039960121e-02,3.604737556011492483e-01,1.624482890580582484e-01
2.678042159849402526e-01,5.560051963087127014e-01,8.627965720952670559e-01,6.915500401862687552e-01,8.539666423583630595e-01,6.967332325850175145e-01,1.000000000000000000e+00,1.197659542452005899e-01,-1.740959370076193904e-02,1.888748285289324619e-02,6.991537623521798528e-01,1.248312965896555965e-01
2.793151487932759094e-02,6.590689567319919784e-02,1.219908300209522484e-01,7.256308583628696962e-02,1.188668013142380325e-01,8.815610467566652175e-02,1.197659542452005899e-01,1.000000000000000000e+00,2.771089169090555360e-01,2.127137478795089465e-02,9.129561164581434518e-02,1.232780150428844368e-02
-4.279431684680497922e-02,-5.797585234621473876e-02,-1.525041585898540518e-02,1.954691106130046312e-03,-1.135080597593866002e-02,-5.197526789904224898e-02,-1.740959370076193904e-02,2.771089169090555360e-01,1.000000000000000000e+00,7.380402813836126064e-02,4.403949411317911906e-03,-2.172638417476015736e-03
3.189880573342884079e-02,2.887316720996822503e-02,2.077574000645776575e-02,6.413412714665781694e-03,1.868432161347472267e-02,3.384696279039960121e-02,1.888748285289324619e-02,2.127137478795089465e-02,7.380402813836126064e-02,1.000000000000000000e+00,1.365145489799112627e-02,-9.849420048832489057e-04
1.295870446319888902e-01,2.733859933092430139e-01,4.905733021154954909e-01,7.657107785324450688e-01,5.050848702928096845e-01,3.604737556011492483e-01,6.991537623521798528e-01,9.129561164581435906e-02,4.403949411317911906e-03,1.365145489799113147e-02,1.000000000000000000e+00,1.130180442913638617e-01
2.664636985950293302e-01,1.307003009064316712e-01,9.668194007145801405e-02,9.749052497013888097e-02,6.480150492820480057e-02,1.624482890580582484e-01,1.248312965896555965e-01,1.232780150428844194e-02,-2.172638417476015736e-03,-9.849420048832497731e-04,1.130180442913638617e-01,1.000000000000000000e+00
