,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4492,0.2225,0.1008,0.1145,0.5546,0.2644,-0.0625,-0.0015,-0.0040,0.1162,-0.0040
ret_5d,0.4492,1.0000,0.4871,0.2176,0.4791,0.8765,0.5505,-0.0585,-0.0053,0.0066,0.2465,-0.0184
ret_21d,0.2225,0.4871,1.0000,0.4042,0.8772,0.6427,0.8545,-0.0259,-0.0074,-0.0143,0.4466,-0.0380
ret_126d,0.1008,0.2176,0.4042,1.0000,0.4364,0.2757,0.6718,-0.0149,-0.0024,-0.0071,0.7849,-0.0940
macd_8_24,0.1145,0.4791,0.8772,0.4364,1.0000,0.6361,0.8608,-0.0279,0.0057,-0.0132,0.4852,-0.0658
rsi_5,0.5546,0.8765,0.6427,0.2757,0.6361,1.0000,0.6816,-0.0474,0.0024,-0.0029,0.3126,-0.0261
rsi_30,0.2644,0.5505,0.8545,0.6718,0.8608,0.6816,1.0000,-0.0329,0.0096,-0.0125,0.6782,-0.0812
atr_norm,-0.0625,-0.0585,-0.0259,-0.0149,-0.0279,-0.0474,-0.0329,1.0000,0.4096,0.0264,-0.0139,0.0025
vol_norm,-0.0015,-0.0053,-0.0074,-0.0024,0.0057,0.0024,0.0096,0.4096,1.0000,0.0781,0.0101,-0.0435
oi_chg,-0.0040,0.0066,-0.0143,-0.0071,-0.0132,-0.0029,-0.0125,0.0264,0.0781,1.0000,-0.0023,-0.0402
drawdown,0.1162,0.2465,0.4466,0.7849,0.4852,0.3126,0.6782,-0.0139,0.0101,-0.0023,1.0000,0.0063
days_to_roll,-0.0040,-0.0184,-0.0380,-0.0940,-0.0658,-0.0261,-0.0812,0.0025,-0.0435,-0.0402,0.0063,1.0000
