,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,-0.0339,0.9720,-4.2165,4.6283,0.0000,0.0000,0.0096
ret_5d,-0.0800,0.9647,-3.6261,3.9607,0.0000,0.0000,0.0039
ret_21d,-0.1749,0.9812,-3.6157,2.9748,0.0000,0.0000,0.0021
ret_126d,-0.3538,1.0369,-3.3220,2.5859,0.0000,0.0000,0.0005
macd_8_24,-0.1513,1.0607,-3.1767,3.0910,0.0000,0.0000,0.0000
rsi_5,-0.0558,0.4023,-0.9546,0.9476,0.0000,0.0000,0.0000
rsi_30,-0.0441,0.1698,-0.5966,0.4597,0.0000,0.0000,0.0000
atr_norm,1.0058,0.4736,0.2078,6.0196,0.0000,0.0000,0.0000
vol_norm,1.0211,0.5253,0.0000,7.9615,0.0000,0.0000,0.0005
oi_chg,0.0015,0.0482,-0.4886,0.3216,0.0000,0.0000,0.0091
drawdown,-0.0481,0.0367,-0.1909,0.0000,0.0000,0.0000,0.0334
days_to_roll,0.2134,0.3324,-0.5000,0.5222,0.0000,0.0000,0.0057
