,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,-0.0113,0.9799,-4.4590,3.7788,0.0000,0.0000,0.0164
ret_5d,-0.0257,0.9804,-3.2130,3.3831,0.0000,0.0000,0.0061
ret_21d,-0.0478,0.9810,-3.3336,3.0431,0.0000,0.0000,0.0032
ret_126d,-0.0542,1.0295,-2.9565,2.3683,0.0000,0.0000,0.0000
macd_8_24,-0.0622,1.0737,-3.1514,2.8778,0.0000,0.0000,0.0000
rsi_5,-0.0101,0.3986,-0.9621,0.9105,0.0000,0.0000,0.0000
rsi_30,-0.0102,0.1664,-0.5601,0.4780,0.0000,0.0000,0.0000
atr_norm,1.0024,0.3887,0.0984,4.5657,0.0000,0.0000,0.0000
vol_norm,1.0161,0.4001,0.0000,4.2942,0.0000,0.0000,0.0004
oi_chg,0.0027,0.1046,-1.0000,5.0000,0.0000,0.0000,0.0075
drawdown,-0.0449,0.0384,-0.2089,0.0000,0.0000,0.0000,0.0470
days_to_roll,0.3378,0.2877,-0.5000,0.5111,0.0000,0.0000,0.0034
