,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0511,0.9888,-4.1731,3.8096,0.0000,0.0000,0.0066
ret_5d,0.1267,0.9637,-4.0749,3.0799,0.0000,0.0000,0.0018
ret_21d,0.2975,0.9282,-2.5178,3.0598,0.0000,0.0000,0.0007
ret_126d,0.6332,0.8884,-2.3899,3.8609,0.0000,0.0000,0.0000
macd_8_24,0.3440,1.0745,-3.0858,3.0502,0.0000,0.0000,0.0000
rsi_5,0.1159,0.4039,-0.9198,0.9658,0.0000,0.0000,0.0000
rsi_30,0.0821,0.1579,-0.4549,0.5079,0.0000,0.0000,0.0000
atr_norm,1.0140,0.4329,0.1251,5.4797,0.0000,0.0000,0.0000
vol_norm,1.0097,0.3164,0.0000,5.6684,0.0000,0.0000,0.0007
oi_chg,0.0053,0.1604,-1.0000,5.0000,0.0000,0.0000,0.0089
drawdown,-0.0321,0.0438,-0.2767,0.0000,0.0000,0.0000,0.1352
days_to_roll,0.0010,0.2935,-0.5000,0.5778,0.0000,0.0000,0.0002
