,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,-0.0088,0.9803,-3.4890,4.0356,0.0000,0.0000,0.0179
ret_5d,-0.0211,1.0406,-4.4784,5.2386,0.0000,0.0000,0.0098
ret_21d,-0.0531,1.0015,-3.5726,3.6171,0.0000,0.0000,0.0034
ret_126d,-0.2169,0.9246,-4.5682,3.1394,0.0000,0.0000,0.0020
macd_8_24,-0.0717,1.0444,-3.1962,3.1152,0.0000,0.0000,0.0000
rsi_5,-0.0241,0.4212,-0.9669,0.9957,0.0000,0.0000,0.0000
rsi_30,-0.0181,0.1602,-0.4615,0.7681,0.0000,0.0000,0.0000
atr_norm,1.0072,0.4817,0.0293,6.2097,0.0000,0.0000,0.0000
vol_norm,1.0540,0.7445,0.0000,9.5721,0.0000,0.0000,0.0005
oi_chg,0.0067,0.2054,-1.0000,5.0000,0.0000,0.0000,0.0111
drawdown,-0.0865,0.0735,-0.3775,0.0000,0.0000,0.0000,0.0465
days_to_roll,0.3792,0.2718,-0.5000,0.5000,0.0000,0.0000,0.0027
