,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4480,0.2344,0.0978,0.1243,0.5484,0.2654,0.0970,0.0570,-0.0390,0.1256,-0.0076
ret_5d,0.4480,1.0000,0.5113,0.2215,0.4993,0.8708,0.5523,0.1645,0.0679,-0.0471,0.2676,-0.0319
ret_21d,0.2344,0.5113,1.0000,0.4382,0.8729,0.6692,0.8642,0.0731,0.0000,-0.0393,0.4900,-0.0752
ret_126d,0.0978,0.2215,0.4382,1.0000,0.4403,0.3081,0.6906,0.0142,-0.0111,-0.0087,0.8039,-0.1521
macd_8_24,0.1243,0.4993,0.8729,0.4403,1.0000,0.6510,0.8459,0.0745,-0.0026,-0.0409,0.4951,-0.0870
rsi_5,0.5484,0.8708,0.6692,0.3081,0.6510,1.0000,0.6931,0.1675,0.0701,-0.0468,0.3614,-0.0567
rsi_30,0.2654,0.5523,0.8642,0.6906,0.8459,0.6931,1.0000,0.0648,-0.0028,-0.0337,0.7204,-0.1239
atr_norm,0.0970,0.1645,0.0731,0.0142,0.0745,0.1675,0.0648,1.0000,0.4177,0.0236,0.0310,-0.0098
vol_norm,0.0570,0.0679,0.0000,-0.0111,-0.0026,0.0701,-0.0028,0.4177,1.0000,0.1366,0.0010,-0.0680
oi_chg,-0.0390,-0.0471,-0.0393,-0.0087,-0.0409,-0.0468,-0.0337,0.0236,0.1366,1.0000,-0.0042,-0.0387
drawdown,0.1256,0.2676,0.4900,0.8039,0.4951,0.3614,0.7204,0.0310,0.0010,-0.0042,1.0000,-0.1555
days_to_roll,-0.0076,-0.0319,-0.0752,-0.1521,-0.0870,-0.0567,-0.1239,-0.0098,-0.0680,-0.0387,-0.1555,1.0000
