,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4527,0.2335,0.1054,0.1258,0.5426,0.2676,0.3640,0.0010,0.0400,0.1148,0.0187
ret_5d,0.4527,1.0000,0.5102,0.2388,0.4962,0.8733,0.5584,0.4466,-0.0376,0.0277,0.2451,0.0095
ret_21d,0.2335,0.5102,1.0000,0.4473,0.8865,0.6651,0.8671,0.4272,-0.0037,0.0238,0.4486,0.0533
ret_126d,0.1054,0.2388,0.4473,1.0000,0.4404,0.3183,0.6760,0.1725,-0.0052,0.0007,0.8087,0.0310
macd_8_24,0.1258,0.4962,0.8865,0.4404,1.0000,0.6571,0.8520,0.3913,-0.0188,0.0288,0.4515,0.0218
rsi_5,0.5426,0.8733,0.6651,0.3183,0.6571,1.0000,0.6995,0.5112,-0.0255,0.0366,0.3300,0.0117
rsi_30,0.2676,0.5584,0.8671,0.6760,0.8520,0.6995,1.0000,0.4212,-0.0175,0.0205,0.6670,0.0338
atr_norm,0.3640,0.4466,0.4272,0.1725,0.3913,0.5112,0.4212,1.0000,0.0220,0.0186,0.2093,0.0745
vol_norm,0.0010,-0.0376,-0.0037,-0.0052,-0.0188,-0.0255,-0.0175,0.0220,1.0000,0.1795,-0.0018,0.2087
oi_chg,0.0400,0.0277,0.0238,0.0007,0.0288,0.0366,0.0205,0.0186,0.1795,1.0000,0.0061,-0.0100
drawdown,0.1148,0.2451,0.4486,0.8087,0.4515,0.3300,0.6670,0.2093,-0.0018,0.0061,1.0000,0.0214
days_to_roll,0.0187,0.0095,0.0533,0.0310,0.0218,0.0117,0.0338,0.0745,0.2087,-0.0100,0.0214,1.0000
