,mean,std,min,max,nan_count,inf_count,zero_frac
ret_1d,0.0276,0.9807,-5.5568,3.8801,0.0000,0.0000,0.0062
ret_5d,0.0742,0.9518,-4.4903,2.9672,0.0000,0.0000,0.0018
ret_21d,0.1888,0.8757,-3.3982,3.1974,0.0000,0.0000,0.0007
ret_126d,0.4232,0.7670,-1.9188,3.2873,0.0000,0.0000,0.0000
macd_8_24,0.2389,1.0484,-3.4758,2.7104,0.0000,0.0000,0.0000
rsi_5,0.0777,0.3858,-0.9727,0.9665,0.0000,0.0000,0.0000
rsi_30,0.0523,0.1390,-0.8319,0.4621,0.0000,0.0000,0.0000
atr_norm,1.0121,0.4851,0.0000,16.9615,0.0000,0.0000,0.0020
vol_norm,1.0374,0.6638,0.0000,6.1112,0.0000,0.0000,0.0064
oi_chg,0.0089,0.2370,-1.0000,5.0000,0.0000,0.0000,0.0399
drawdown,-0.0452,0.0596,-0.8840,0.0000,0.0000,0.0000,0.0879
days_to_roll,0.0214,0.3185,-0.5000,1.5111,0.0000,0.0000,0.0111
