,ret_1d,ret_5d,ret_21d,ret_126d,macd_8_24,rsi_5,rsi_30,atr_norm,vol_norm,oi_chg,drawdown,days_to_roll
ret_1d,1.0000,0.4433,0.2269,0.0999,0.1112,0.5591,0.2735,0.1259,0.0841,0.0237,0.1210,-0.0158
ret_5d,0.4433,1.0000,0.4924,0.2176,0.4824,0.8697,0.5577,0.2524,0.1586,-0.0220,0.2451,-0.0077
ret_21d,0.2269,0.4924,1.0000,0.4199,0.8702,0.6432,0.8547,0.1847,0.0861,-0.0157,0.4142,-0.0098
ret_126d,0.0999,0.2176,0.4199,1.0000,0.4501,0.2742,0.6534,0.0801,0.0197,-0.0092,0.5682,-0.0149
macd_8_24,0.1112,0.4824,0.8702,0.4501,1.0000,0.6241,0.8542,0.2013,0.0981,-0.0207,0.4286,-0.0092
rsi_5,0.5591,0.8697,0.6432,0.2742,0.6241,1.0000,0.6794,0.2584,0.1507,-0.0411,0.3006,-0.0103
rsi_30,0.2735,0.5577,0.8547,0.6534,0.8542,0.6794,1.0000,0.1937,0.0884,-0.0134,0.5799,-0.0033
atr_norm,0.1259,0.2524,0.1847,0.0801,0.2013,0.2584,0.1937,1.0000,0.4097,0.0548,0.1050,-0.0037
vol_norm,0.0841,0.1586,0.0861,0.0197,0.0981,0.1507,0.0884,0.4097,1.0000,0.0665,0.0507,0.0004
oi_chg,0.0237,-0.0220,-0.0157,-0.0092,-0.0207,-0.0411,-0.0134,0.0548,0.0665,1.0000,0.0128,-0.0222
drawdown,0.1210,0.2451,0.4142,0.5682,0.4286,0.3006,0.5799,0.1050,0.0507,0.0128,1.0000,0.0055
days_to_roll,-0.0158,-0.0077,-0.0098,-0.0149,-0.0092,-0.0103,-0.0033,-0.0037,0.0004,-0.0222,0.0055,1.0000
