ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,22,24200,0.27511,0.001833,1.652072,0.001971
DA,1,22,24200,-0.817496,0.00178,-2.188425,0.001879
GI,1,22,24332,1.308641,0.001658,4.084791,0.001742
JO,1,22,24200,1.325851,0.001964,0.701422,0.003246
KC,1,22,24200,-0.904409,0.001825,2.543738,0.002676
KW,1,22,24332,-1.987125,0.001873,-0.795504,0.002733
LB,1,22,24332,0.28369,0.001926,0.935224,0.001614
NR,1,22,24332,0.157297,0.001811,0.969208,0.002412
SB,1,22,24200,1.427242,0.001844,2.427368,0.002746
ZC,1,22,24332,0.619278,0.001748,2.755537,0.002681
ZF,1,22,24332,-5.413967,0.001749,-5.718216,0.002829
ZG,1,22,24310,-0.40152,0.001819,0.518469,0.002891
ZH,1,22,24266,1.261219,0.0018,1.89767,0.002311
ZI,1,22,24310,0.426271,0.002031,5.291128,0.001913
ZK,1,22,24288,0.183679,0.001955,0.94777,0.003418
ZL,1,22,24332,1.770976,0.001702,1.106942,0.001807
ZN,1,22,24244,-2.03959,0.001695,-3.371888,0.001579
ZO,1,22,24310,1.695349,0.001871,2.560932,0.004435
ZP,1,22,24310,2.172502,0.001737,4.025198,0.002164
ZR,1,22,24332,-2.042075,0.001699,-0.611621,0.002109
ZT,1,22,24332,-2.726891,0.00178,0.246962,0.004092
ZU,1,22,24222,1.022599,0.001814,2.408526,0.003343
ZW,1,22,24332,-2.087822,0.001718,-2.944292,0.002094
ZZ,1,22,24332,-0.597166,0.001898,0.102194,0.002262
