contract,asset,version,context,sigma,status,action,original_included,effective_context_source,distribution_aligned,exists,test_rows_total,test_rows_nonpositive,test_rows_positive,cleaned_rows,window_length,invalid_reason,nonpositive_in_test,t3_asset_score10,t3_asset_score15,t3_asset_annual_gap,t3_asset_calmar_gap,t3_all_score10,t3_all_score15,t3_all_annual_gap,t3_all_calmar_gap,t3_asset_ER,t3_asset_ER_gap,t3_asset_stdR,t3_asset_stdR_gap,t3_asset_DD,t3_asset_DD_gap,t3_asset_Sharpe,t3_asset_Sharpe_gap,t3_asset_Sortino,t3_asset_Sortino_gap,t3_asset_MDD,t3_asset_MDD_gap,t3_asset_Calmar,t3_asset_Calmar_gap,t3_asset_pct_posve,t3_asset_pct_posve_gap,t3_asset_Ave_P_L,t3_asset_Ave_P_L_gap,t3_all_ER,t3_all_ER_gap,t3_all_stdR,t3_all_stdR_gap,t3_all_DD,t3_all_DD_gap,t3_all_Sharpe,t3_all_Sharpe_gap,t3_all_Sortino,t3_all_Sortino_gap,t3_all_MDD,t3_all_MDD_gap,t3_all_Calmar,t3_all_Calmar_gap,t3_all_pct_posve,t3_all_pct_posve_gap,t3_all_Ave_P_L,t3_all_Ave_P_L_gap,t2_asset_score10,t2_asset_score15,t2_asset_annual_gap,t2_asset_calmar_gap,t2_all_score10,t2_all_score15,t2_all_annual_gap,t2_all_calmar_gap,t2_asset_ER,t2_asset_ER_gap,t2_asset_stdR,t2_asset_stdR_gap,t2_asset_DD,t2_asset_DD_gap,t2_asset_Sharpe,t2_asset_Sharpe_gap,t2_asset_Sortino,t2_asset_Sortino_gap,t2_asset_MDD,t2_asset_MDD_gap,t2_asset_Calmar,t2_asset_Calmar_gap,t2_asset_pct_posve,t2_asset_pct_posve_gap,t2_asset_Ave_P_L,t2_asset_Ave_P_L_gap,t2_all_ER,t2_all_ER_gap,t2_all_stdR,t2_all_stdR_gap,t2_all_DD,t2_all_DD_gap,t2_all_Sharpe,t2_all_Sharpe_gap,t2_all_Sortino,t2_all_Sortino_gap,t2_all_MDD,t2_all_MDD_gap,t2_all_Calmar,t2_all_Calmar_gap,t2_all_pct_posve,t2_all_pct_posve_gap,t2_all_Ave_P_L,t2_all_Ave_P_L_gap,combined_rank,error
ER,Equity Index,RAD_REGEN,structural_38_family,0.058,promotable,swap,True,RAD_RAW,False,True,2302,0,2302,4374,2302,,False,6.0,8.0,35.8391,32.8564,3.0,4.0,7711.8725,869.5862,0.468,7.1429,0.833,10.2371,0.646,6.6007,0.562,3.4991,0.725,12.7557,0.121,4.7244,0.313,32.8326,0.546,0.9242,0.915,1.4009,-0.005,61.5385,0.326,10.1928,0.227,1.3043,-0.017,52.7778,-0.024,57.8947,0.298,705.4054,-0.087,866.6667,0.517,0.3854,0.933,1.5234,3.0,3.0,35.8391,38.5286,2.0,2.0,7711.8725,771.252,0.056,91.6168,0.1,89.6907,0.078,87.1287,0.562,18.314,0.725,34.2105,0.121,8.3333,0.313,38.5069,0.546,0.738,0.915,3.481,-0.002,103.6364,0.1,89.7436,0.07,88.2943,-0.017,129.3103,-0.024,126.087,0.298,319.7183,-0.087,769.2308,0.517,0.5769,0.933,0.0,"(1, 1.6622217978187188, np.float64(4.881874727193358), np.float64(98.759623609923), 71.67823369801755, 13.057742782152241, 71.3849740223349, np.int64(-11))",
ER,Equity Index,REV,structural_38_family,0.058,promotable,swap,True,RAD_RAW,False,True,2302,0,2302,4374,2302,,False,6.0,8.0,35.1064,34.3272,3.0,4.0,7666.9039,867.4911,0.468,7.1429,0.833,10.2371,0.645,6.4356,0.562,3.4991,0.726,12.6354,0.125,1.5748,0.306,34.3348,0.546,0.9242,0.915,1.4009,-0.005,61.5385,0.326,10.1928,0.227,1.3043,-0.017,52.7778,-0.024,57.8947,0.297,702.7027,-0.087,866.6667,0.516,0.578,0.936,1.8498,3.0,3.0,35.1064,39.8752,2.0,2.0,7666.9039,769.8016,0.056,91.6168,0.1,89.6907,0.077,87.2937,0.562,18.314,0.726,34.1198,0.125,5.303,0.306,39.8821,0.546,0.738,0.915,3.481,-0.002,103.6364,0.1,89.7436,0.07,88.2943,-0.017,129.3103,-0.024,126.087,0.297,318.3099,-0.087,769.2308,0.516,0.7692,0.936,0.3215,"(1, 1.6622217978187188, np.float64(4.881874727193358), np.float64(98.759623609923), 70.21272787378324, 6.877833452636608, 74.20232323070566, np.int64(-11))",
ER,Equity Index,DROP,structural_38_family,0.059,drop-candidate,drop,True,RAD_RAW,False,True,0,0,0,0,0,,False,7.0,8.0,34.3039,32.596,5.0,6.0,8209.2877,888.1546,0.491,2.5794,0.853,8.0819,0.659,8.7459,0.576,6.0773,0.745,10.349,0.124,2.3622,0.314,32.618,0.544,0.5545,0.925,0.3233,-0.011,15.3846,0.327,9.9174,0.226,1.7391,-0.034,5.5556,-0.049,14.0351,0.311,740.5405,-0.089,888.8889,0.515,0.7707,0.935,1.741,3.0,3.0,34.3039,38.2903,2.0,2.0,8209.2877,784.107,0.058,91.3174,0.1,89.6907,0.077,87.2937,0.576,16.2791,0.745,32.3956,0.124,6.0606,0.314,38.3104,0.544,0.369,0.925,2.4262,-0.003,105.4545,0.1,89.7436,0.069,88.4615,-0.034,158.6207,-0.049,153.2609,0.311,338.0282,-0.089,784.6154,0.515,0.9615,0.935,0.2144,"(1, 0.9235323406838511, np.float64(2.749436199621699), np.float64(93.89673034882614), 68.60780305661648, 8.422810785015518, 70.88626773650897, np.int64(-11))",
ER,Equity Index,NON,structural_38_family,0.059,diagnostic-only,swap,True,RAD_RAW,False,True,2302,0,2302,4374,2302,,False,7.0,8.0,35.776,35.3148,4.0,4.0,7706.7355,869.3731,0.473,6.1508,0.847,8.7284,0.656,8.2508,0.558,2.7624,0.721,13.2371,0.126,0.7874,0.301,35.4077,0.546,0.9242,0.914,1.5086,-0.006,53.8462,0.331,8.8154,0.231,0.4348,-0.019,47.2222,-0.027,52.6316,0.298,705.4054,-0.087,866.6667,0.516,0.578,0.936,1.8498,3.0,3.0,35.776,40.7793,2.0,2.0,7706.7355,771.1044,0.056,91.6168,0.1,89.6907,0.077,87.2937,0.558,18.8953,0.721,34.5735,0.126,4.5455,0.301,40.8644,0.546,0.738,0.914,3.5865,-0.002,103.6364,0.1,89.7436,0.07,88.2943,-0.019,132.7586,-0.027,129.3478,0.298,319.7183,-0.087,769.2308,0.516,0.7692,0.936,0.3215,"(1, 1.6622217978187188, np.float64(5.095118579950524), np.float64(97.76756011785952), 71.55190546513973, 5.332856120257699, 76.09410234643187, np.int64(-11))",
ER,Equity Index,NON_FWD_ANCHORED,structural_38_family,0.059,promotable,swap,True,RAD_RAW,False,True,2302,0,2302,4374,2302,,False,7.0,8.0,34.8692,34.0086,4.0,4.0,7652.7754,866.685,0.477,5.3571,0.847,8.7284,0.656,8.2508,0.564,3.8674,0.728,12.3947,0.125,1.5748,0.308,33.9056,0.546,0.9242,0.915,1.4009,-0.005,61.5385,0.331,8.8154,0.231,0.4348,-0.016,55.5556,-0.023,59.6491,0.297,702.7027,-0.087,866.6667,0.516,0.578,0.936,1.8498,3.0,3.0,34.8692,39.5835,2.0,2.0,7652.7754,769.2435,0.056,91.6168,0.1,89.6907,0.077,87.2937,0.564,18.0233,0.728,33.9383,0.125,5.303,0.308,39.4892,0.546,0.738,0.915,3.481,-0.002,103.6364,0.1,89.7436,0.07,88.2943,-0.016,127.5862,-0.023,125.0,0.297,318.3099,-0.087,769.2308,0.516,0.7692,0.936,0.3215,"(1, 1.6622217978187188, np.float64(4.881874727193358), np.float64(96.97390932420872), 69.73836682392755, 6.877833452636608, 73.59202166668025, np.int64(-11))",
ER,Equity Index,RAD_RAW,structural_38_family,0.059,promotable,swap,True,RAD_RAW,False,True,2302,0,2302,4374,2302,,False,7.0,8.0,34.4174,34.0876,4.0,4.0,7625.1629,865.1488,0.478,5.1587,0.847,8.7284,0.656,8.2508,0.564,3.8674,0.728,12.3947,0.126,0.7874,0.307,34.1202,0.546,0.9242,0.915,1.4009,-0.005,61.5385,0.331,8.8154,0.231,0.4348,-0.016,55.5556,-0.022,61.4035,0.296,700.0,-0.087,866.6667,0.516,0.578,0.936,1.8498,3.0,3.0,34.4174,39.6558,2.0,2.0,7625.1629,768.1799,0.056,91.6168,0.1,89.6907,0.077,87.2937,0.564,18.0233,0.728,33.9383,0.126,4.5455,0.307,39.6857,0.546,0.738,0.915,3.481,-0.002,103.6364,0.1,89.7436,0.07,88.2943,-0.016,127.5862,-0.022,123.913,0.296,316.9014,-0.087,769.2308,0.516,0.7692,0.936,0.3215,"(1, 1.6622217978187188, np.float64(4.881874727193358), np.float64(96.77549662579602), 68.83471959051406, 5.332856120257699, 73.74342401765782, np.int64(-11))",
ER,Equity Index,RAD_REGEN,structural_38_family,0.059,promotable,swap,True,RAD_RAW,False,True,2302,0,2302,4374,2302,,False,7.0,8.0,35.8391,32.8564,4.0,4.0,7711.8725,869.5862,0.476,5.5556,0.847,8.7284,0.657,8.4158,0.562,3.4991,0.725,12.7557,0.121,4.7244,0.313,32.8326,0.546,0.9242,0.915,1.4009,-0.005,61.5385,0.331,8.8154,0.231,0.4348,-0.017,52.7778,-0.024,57.8947,0.298,705.4054,-0.087,866.6667,0.517,0.3854,0.933,1.5234,3.0,3.0,35.8391,38.5286,2.0,2.0,7711.8725,771.252,0.056,91.6168,0.1,89.6907,0.078,87.1287,0.562,18.314,0.725,34.2105,0.121,8.3333,0.313,38.5069,0.546,0.738,0.915,3.481,-0.002,103.6364,0.1,89.7436,0.07,88.2943,-0.017,129.3103,-0.024,126.087,0.298,319.7183,-0.087,769.2308,0.517,0.5769,0.933,0.0,"(1, 1.6622217978187188, np.float64(4.881874727193358), np.float64(97.17232202262142), 71.67823369801755, 13.057742782152241, 71.38497402233467, np.int64(-11))",
ER,Equity Index,REV,structural_38_family,0.059,promotable,swap,True,RAD_RAW,False,True,2302,0,2302,4374,2302,,False,7.0,8.0,35.1064,34.3272,4.0,4.0,7666.9039,867.4911,0.476,5.5556,0.847,8.7284,0.656,8.2508,0.562,3.4991,0.726,12.6354,0.125,1.5748,0.306,34.3348,0.546,0.9242,0.915,1.4009,-0.005,61.5385,0.331,8.8154,0.231,0.4348,-0.017,52.7778,-0.024,57.8947,0.297,702.7027,-0.087,866.6667,0.516,0.578,0.936,1.8498,3.0,3.0,35.1064,39.8752,2.0,2.0,7666.9039,769.8016,0.056,91.6168,0.1,89.6907,0.077,87.2937,0.562,18.314,0.726,34.1198,0.125,5.303,0.306,39.8821,0.546,0.738,0.915,3.481,-0.002,103.6364,0.1,89.7436,0.07,88.2943,-0.017,129.3103,-0.024,126.087,0.297,318.3099,-0.087,769.2308,0.516,0.7692,0.936,0.3215,"(1, 1.6622217978187188, np.float64(4.881874727193358), np.float64(97.17232202262142), 70.21272787378324, 6.877833452636608, 74.20232323070566, np.int64(-11))",
ER,Equity Index,DROP,structural_38_family,0.06,drop-candidate,drop,True,RAD_RAW,False,True,0,0,0,0,0,,False,6.0,8.0,34.3039,32.596,5.0,6.0,8209.2877,888.1546,0.499,0.9921,0.867,6.5733,0.67,10.5611,0.576,6.0773,0.745,10.349,0.124,2.3622,0.314,32.618,0.544,0.5545,0.925,0.3233,-0.011,15.3846,0.332,8.5399,0.23,0.0,-0.034,5.5556,-0.049,14.0351,0.311,740.5405,-0.089,888.8889,0.515,0.7707,0.935,1.741,3.0,3.0,34.3039,38.2903,2.0,2.0,8209.2877,784.107,0.058,91.3174,0.1,89.6907,0.077,87.2937,0.576,16.2791,0.745,32.3956,0.124,6.0606,0.314,38.3104,0.544,0.369,0.925,2.4262,-0.003,105.4545,0.1,89.7436,0.069,88.4615,-0.034,158.6207,-0.049,153.2609,0.311,338.0282,-0.089,784.6154,0.515,0.9615,0.935,0.2144,"(1, 0.9235323406838511, np.float64(2.749436199621699), np.float64(92.30942876152456), 68.60780305661648, 8.422810785015518, 70.88626773650897, np.int64(-11))",
ER,Equity Index,NON,structural_38_family,0.06,diagnostic-only,swap,True,RAD_RAW,False,True,2302,0,2302,4374,2302,,False,6.0,8.0,35.776,35.3148,4.0,4.0,7706.7355,869.3731,0.481,4.5635,0.861,7.2198,0.667,10.066,0.558,2.7624,0.721,13.2371,0.126,0.7874,0.301,35.4077,0.546,0.9242,0.914,1.5086,-0.006,53.8462,0.337,7.1625,0.235,2.1739,-0.019,47.2222,-0.027,52.6316,0.298,705.4054,-0.087,866.6667,0.516,0.578,0.936,1.8498,3.0,3.0,35.776,40.7793,2.0,2.0,7706.7355,771.1044,0.056,91.6168,0.1,89.6907,0.077,87.2937,0.558,18.8953,0.721,34.5735,0.126,4.5455,0.301,40.8644,0.546,0.738,0.914,3.5865,-0.002,103.6364,0.1,89.7436,0.07,88.2943,-0.019,132.7586,-0.027,129.3478,0.298,319.7183,-0.087,769.2308,0.516,0.7692,0.936,0.3215,"(1, 1.6622217978187188, np.float64(5.095118579950524), np.float64(96.18025853055792), 71.55190546513973, 5.332856120257699, 76.09410234643187, np.int64(-11))",
