ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CA,2,21,31500,17.689312,0.002848,23.977053,0.002185
EN,2,21,31500,-1.84653,0.002885,6.637134,0.003105
ER,2,21,31500,16.347534,0.002945,26.362985,0.002405
ES,2,21,31500,21.524959,0.002833,28.995082,0.003325
LX,2,21,31500,12.269065,0.002917,18.634032,0.003055
MD,2,21,31500,17.026669,0.002881,28.661938,0.003126
SC,2,21,31500,20.14313,0.002895,31.798874,0.002707
SP,2,21,31500,21.163978,0.002899,32.474377,0.002345
XU,2,21,31500,16.644655,0.002868,21.789554,0.002865
XX,2,21,31500,13.381502,0.002933,20.722023,0.00274
YM,2,21,31500,16.700982,0.002867,25.273417,0.001942
