ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,26,28600,-0.152239,0.001995,4.223086,0.001607
DA,1,26,28600,0.898323,0.002029,11.943779,0.001732
GI,1,26,28756,1.10205,0.00199,-0.375576,0.001817
JO,1,26,28600,1.55844,0.00196,-1.763192,0.001289
KC,1,26,28600,-0.737091,0.002027,-0.764742,0.001889
KW,1,26,28756,-0.607555,0.002029,1.671272,0.002902
LB,1,26,28756,-0.188117,0.001952,-1.047345,0.002144
NR,1,26,28756,-0.408143,0.002034,1.552087,0.001615
SB,1,26,28600,0.352912,0.001995,0.661238,0.001959
ZC,1,26,28756,0.490366,0.002021,2.304237,0.001293
ZF,1,26,28756,-4.945056,0.001956,-5.007601,0.001554
ZG,1,26,28730,-0.196115,0.002067,-0.588228,0.001833
ZH,1,26,28678,1.914133,0.001973,1.30762,0.003213
ZI,1,26,28730,0.079098,0.001936,0.263555,0.001779
ZK,1,26,28704,-0.7498,0.002036,-0.110545,0.002568
ZL,1,26,28756,1.455368,0.001998,2.497366,0.001286
ZN,1,26,28652,-2.524761,0.001943,-5.716683,0.000915
ZO,1,26,28730,0.170745,0.00203,-0.132956,0.002556
ZP,1,26,28730,0.75916,0.001982,-1.255282,0.001089
ZR,1,26,28756,-0.947323,0.001926,-0.92768,0.003678
ZT,1,26,28756,-2.415493,0.001922,-1.313742,0.001484
ZU,1,26,28626,1.064204,0.00201,3.381619,0.001867
ZW,1,26,28756,-1.825529,0.002031,-4.210651,0.002318
ZZ,1,26,28756,0.262438,0.001946,-2.059749,0.001879
