ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CA,2,27,40500,21.725044,0.002741,29.844572,0.001434
EN,2,27,40500,6.093182,0.002801,13.152762,0.002215
ER,2,27,40500,20.349104,0.002695,33.691538,0.002392
ES,2,27,40500,26.029506,0.002696,35.725637,0.00183
LX,2,27,40500,18.67703,0.002726,25.651283,0.001874
MD,2,27,40500,21.019071,0.002724,28.527871,0.001522
SC,2,27,40500,24.963493,0.002718,35.976725,0.001736
SP,2,27,40500,25.153825,0.002674,36.316219,0.002
XU,2,27,40500,19.803804,0.002712,26.598662,0.001774
XX,2,27,40500,17.372515,0.002741,23.450002,0.003155
YM,2,27,40500,18.716134,0.002734,24.106426,0.001923
