ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,2,21,31500,-1.824461,0.001336,-1.887314,0.000417
DA,2,21,31500,-3.028618,0.001293,-2.71733,9.1e-05
GI,2,21,31500,-0.916992,0.001353,-0.381495,0.000503
JO,2,21,31500,-0.509111,0.00129,-1.285814,0.000224
KC,2,21,31500,-1.481119,0.001271,-0.386091,0.000953
KW,2,21,31500,-1.969193,0.001326,-2.009195,0.000633
LB,2,21,31500,-2.780405,0.001283,-1.573647,0.000241
NR,2,21,31500,-1.45849,0.001375,-2.465821,0.001056
SB,2,21,31500,-0.96961,0.001232,-2.49137,0.000663
ZC,2,21,31500,-0.981696,0.001333,-4.527382,0.000257
ZF,2,21,31500,-5.862427,0.001145,-5.276425,0.000453
ZG,2,21,31500,-0.644568,0.001407,-1.226874,0.000495
ZH,2,21,31500,0.429154,0.00145,-1.386768,0.000379
ZI,2,21,31500,-0.842011,0.0012,-2.154862,0.000492
ZK,2,21,31500,-1.33333,0.001434,0.607068,0.001321
ZL,2,21,31500,-1.628054,0.001215,-1.971516,0.000502
ZN,2,21,31500,-3.608059,0.00127,-1.017661,0.000391
ZO,2,21,31500,-0.360863,0.001292,-2.599954,0.00073
ZP,2,21,31500,-1.214173,0.001398,-1.28273,0.000817
ZR,2,21,31500,-2.280234,0.001268,0.235964,0.000646
ZT,2,21,31500,-3.643479,0.001313,-2.809401,0.000268
ZU,2,21,31500,-1.401908,0.001317,-3.366936,0.00061
ZW,2,21,31500,-3.108926,0.001302,-3.48378,0.001088
ZZ,2,21,31500,-3.093252,0.001441,-3.160244,0.000504
