01/02/1990,2496.0,2497.0,2457.0,2475.0,3152,21744
01/03/1990,2490.0,2512.0,2482.0,2510.0,3885,21684
01/04/1990,2515.0,2530.0,2493.0,2500.0,4276,21867
01/05/1990,2493.0,2496.0,2475.0,2490.0,3653,22604
01/08/1990,2490.0,2490.0,2471.0,2479.0,3348,22668
01/09/1990,2475.0,2494.0,2466.0,2489.0,3660,22728
01/10/1990,2470.0,2479.0,2449.0,2460.0,3505,23068
01/11/1990,2443.0,2463.0,2436.0,2460.0,3556,23284
01/12/1990,2440.0,2440.0,2403.0,2408.0,6198,23873
01/15/1990,2387.0,2397.0,2377.0,2397.0,5356,23434
01/16/1990,2397.0,2397.0,2353.0,2379.0,8033,23940
01/17/1990,2390.0,2413.0,2385.0,2410.0,5741,24132
01/18/1990,2377.0,2384.0,2345.0,2360.0,7806,23010
01/19/1990,2382.0,2382.0,2337.0,2344.0,6379,23333
01/22/1990,2370.0,2374.0,2318.0,2321.0,6043,23249
01/23/1990,2307.0,2325.0,2297.0,2304.0,6373,23638
01/24/1990,2280.0,2288.0,2260.0,2288.0,8944,23269
01/25/1990,2320.0,2331.0,2309.0,2312.0,4852,22886
01/26/1990,2315.0,2343.0,2315.0,2333.0,4738,22869
01/29/1990,2338.0,2360.0,2338.0,2350.0,3449,22755
01/30/1990,2344.0,2350.0,2332.0,2343.0,5001,23201
01/31/1990,2337.0,2358.0,2337.0,2356.0,4813,21939
02/01/1990,2369.0,2377.0,2357.0,2362.0,3264,22067
02/02/1990,2357.0,2377.0,2355.0,2377.0,3081,21925
02/05/1990,2369.0,2371.0,2357.0,2360.0,2461,21871
02/06/1990,2356.0,2356.0,2332.0,2333.0,4145,22252
02/07/1990,2328.0,2331.0,2304.0,2319.0,4615,22324
02/08/1990,2340.0,2355.0,2333.0,2351.0,2348,22103
02/09/1990,2341.0,2346.0,2317.0,2319.0,4781,22691
02/12/1990,2323.0,2323.0,2286.0,2287.0,5510,22958
02/13/1990,2305.0,2306.0,2280.0,2292.0,5580,23304
02/14/1990,2307.0,2315.0,2297.0,2310.0,3434,23145
02/15/1990,2302.0,2330.0,2294.0,2328.0,3756,23102
02/16/1990,2331.0,2348.0,2327.0,2340.0,3473,22981
02/19/1990,2325.0,2325.0,2291.0,2293.0,3366,23749
02/20/1990,2286.0,2291.0,2275.0,2284.0,4610,24589
02/21/1990,2259.0,2270.0,2247.0,2265.0,7017,24375
02/22/1990,2262.0,2271.0,2252.0,2271.0,4365,24374
02/23/1990,2250.0,2250.0,2231.0,2240.0,5720,24638
02/26/1990,2214.0,2261.0,2214.0,2259.0,6820,24428
02/27/1990,2263.0,2272.0,2256.0,2266.0,4779,24193
02/28/1990,2259.0,2278.0,2255.0,2269.0,6047,24727
03/01/1990,2250.0,2250.0,2238.0,2244.0,4938,24777
03/02/1990,2252.0,2264.0,2251.0,2261.5,2946,25094
03/05/1990,2243.0,2248.5,2233.0,2247.0,1988,24879
03/06/1990,2250.0,2250.0,2216.0,2227.0,5582,24869
03/07/1990,2236.0,2248.0,2224.0,2234.0,4382,25721
03/08/1990,2246.0,2263.0,2246.0,2256.0,4421,26046
03/09/1990,2265.0,2265.0,2226.0,2226.0,4623,26242
03/12/1990,2217.0,2233.0,2217.0,2225.0,4249,26153
03/13/1990,2218.0031446540884,2225.999550763702,2212.005840071878,2225.0,5572,26314
03/14/1990,2230.9973045822103,2244.9910152740345,2225.0,2235.995058400719,4211,26270
03/15/1990,2278.975741239892,2281.9743935309975,2272.978436657682,2275.477313566936,2669,26083
03/16/1990,2282.9739442946993,2310.9613656783467,2282.9739442946993,2310.9613656783467,4395,24809
03/19/1990,2295.9681042228212,2300.9658580413297,2265.9815813117702,2265.9815813117702,4672,24727
03/20/1990,2292.9694519317163,2293.969002695418,2281.9743935309975,2284.473270440252,2753,24669
03/21/1990,2253.9869721473497,2284.9730458221024,2253.9869721473497,2283.9734950584007,8167,25390
03/22/1990,2274.9775381850855,2312.9604672057503,2274.9775381850855,2302.465184186882,8063,23877
03/23/1990,2310.9613656783467,2331.951931716083,2310.9613656783467,2324.955076370171,6952,23819
03/26/1990,2343.946540880503,2363.9375561545376,2341.9474393531,2347.9447439353103,8282,22526
03/27/1990,2334.950584007188,2344.946091644205,2307.962713387242,2307.962713387242,6820,23736
03/28/1990,2318.9577717879606,2329.9528301886794,2313.960017969452,2320.956873315364,7625,23961
03/29/1990,2322.9559748427673,2323.4557502246184,2294.9685534591194,2299.966307277628,11076,23157
03/30/1990,2293.969002695418,2301.9654088050315,2257.9851752021564,2258.984725965858,7977,23335
04/02/1990,2235.995058400719,2243.9914645103327,2222.001347708895,2241.992362982929,8122,18042
04/03/1990,2258.984725965858,2276.976639712489,2240.9928122192273,2271.9788858939805,4564,17785
04/04/1990,2276.976639712489,2280.9748427672957,2248.989218328841,2250.9883198562443,4429,17673
04/05/1990,2246.9901168014376,2271.9788858939805,2243.9914645103327,2269.979784366577,3996,17075
04/06/1990,2277.9761904761904,2277.9761904761904,2239.9932614555255,2240.9928122192273,5166,17894
04/09/1990,2241.992362982929,2255.9860736747532,2236.9946091644206,2246.9901168014376,3026,17755
04/10/1990,2235.995058400719,2235.995058400719,2220.0022461814915,2230.9973045822103,4103,17862
04/11/1990,2232.996406109614,2239.9932614555255,2224.000449236298,2230.9973045822103,2703,18488
04/12/1990,2226.9991015274036,2244.9910152740345,2222.001347708895,2242.991913746631,2290,18506
04/17/1990,2238.993710691824,2248.989218328841,2225.999550763702,2229.9977538185085,2347,18597
04/18/1990,2232.996406109614,2248.989218328841,2217.0035938903866,2217.5033692722373,2823,18751
04/19/1990,2204.009433962264,2216.004043126685,2195.013477088949,2205.008984725966,6230,18908
04/20/1990,2212.005840071878,2213.0053908355794,2196.013027852651,2199.0116801437557,3437,19163
04/23/1990,2198.012129380054,2199.0116801437557,2179.0206648697217,2180.0202156334235,5240,19929
04/24/1990,2182.0193171608266,2197.012578616352,2172.0238095238096,2186.0175202156333,6317,19850
04/25/1990,2184.01841868823,2197.012578616352,2154.0318957771788,2157.030548068284,6447,20015
04/26/1990,2166.0265049415993,2173.0233602875114,2147.035040431267,2155.0314465408806,5132,19522
04/27/1990,2163.0278526504944,2168.025606469003,2123.045822102426,2134.0408805031448,8209,19480
04/30/1990,2114.0498652291108,2132.041778975741,2098.0570530098835,2128.0435759209345,7039,19658
05/01/1990,2143.03683737646,2156.0309973045823,2141.037735849057,2145.0359389038636,5860,21021
05/02/1990,2149.0341419586703,2167.026055705301,2149.0341419586703,2157.530323450135,3992,21253
