date,ret_dqn,ret_long,rolling_sharpe_dqn_252,rolling_sharpe_long_252,wealth_dqn,wealth_long,alpha_daily
2011-01-03,-0.02174535872183173,0.0004360193946163248,,,0.9782546412781683,1.0004360193946162,-0.022181378116448054
2011-01-04,0.008112760240763933,-8.47678856227003e-05,,,0.9861909866372727,1.0003512145485514,0.008197528126386633
2011-01-05,-0.020344649064701216,0.00023034944452317017,,,0.9661272771033659,1.0005816448951508,-0.020574998509224385
2011-01-06,0.00885589804519185,-2.9982319395580647e-05,,,0.9746832017680721,1.0005516451366923,0.00888588036458743
2011-01-07,0.00779764186368696,-0.00015044626104353392,,,0.9822834323060112,1.0004011158827004,0.007948088124730494
2011-01-10,-0.017164122000000667,-3.473860266069917e-05,,,0.9654233996353315,1.0003663633458344,-0.017129383397339968
2011-01-11,-0.009596173686593587,0.00022021086740910828,,,0.9561590290113292,1.0005866548904339,-0.009816384554002695
2011-01-12,0.005333258799792912,0.00044821753249773394,,,0.9612584725668054,1.001035135371939,0.004885041267295178
2011-01-13,0.010576322444784129,-5.375761766114831e-05,,,0.9714250521254526,1.0009813221078665,0.010630080062445276
2011-01-14,-0.025565032832929865,0.00027899731442048977,,,0.9465905387731348,1.0012605932085195,-0.025844030147350355
2011-01-17,-0.013811987603758933,-3.534552727862081e-05,,,0.9335162419857648,1.0012252031249091,-0.013776642076480312
2011-01-18,0.009484108074603469,0.00026358943165993084,,,0.9423698109141555,1.0014891155071644,0.009220518642943537
2011-01-19,0.06392391022378469,-0.0005758232248270216,,,1.002609774104637,1.0009124348150438,0.0644997334486117
2011-01-20,0.015578448743664026,-0.00019057659131328474,,,1.0182288790804226,1.0007216843350137,0.015769025334977312
2011-01-21,0.025310460770505253,8.841891316077904e-05,,,1.0440007211797833,1.000810167058719,0.025222041857344474
2011-01-24,0.020796216430400263,0.00029555818537520457,,,1.065711986130932,1.0011059646956,0.020500658245025057
2011-01-25,-0.013396162935856066,-3.629023087540404e-05,,,1.0514355347220272,1.0010696343290104,-0.013359872704980662
2011-01-26,0.04320270826801915,0.00026809090471660894,,,1.0968603973912516,1.001338011992962,0.04293461736330254
2011-01-27,0.017589300179128114,0.00010935300855660487,,,1.116153404175564,1.0014475113171555,0.017479947170571507
2011-01-28,-0.10043826189642142,-0.0006667813300431365,,,1.0040488962503964,1.000779764813591,-0.09977148056637829
2011-01-31,0.022611455388525645,0.0002489137045836604,,,1.0267519030758607,1.001028872612323,0.022362541683941986
2011-02-01,0.027453568756840938,0.0005334211666369799,,,1.054939907043171,1.0015628426013894,0.026920147590203957
2011-02-02,0.0012728388990913405,-4.230479530734254e-05,,,1.0562826755930594,1.0015204716903456,0.001315143694398683
2011-02-03,0.004144494162623803,7.84961808168891e-05,,,1.0606604329761355,1.0015990872223832,0.0040659979818069136
2011-02-04,-0.012219012726618995,0.00011865713141886526,,,1.047700209646979,1.001717934096905,-0.01233766985803786
2011-02-07,-0.004487954577098441,0.00025425097641630515,,,1.0429981786956668,1.0019726218597427,-0.0047422055535147455
2011-02-08,-0.010025367252341473,0.00020321613827868788,,,1.0325417389107194,1.002176238866618,-0.01022858339062016
2011-02-09,0.003825105326015769,-9.332921643630463e-05,,,1.0364913198155605,1.0020827065435134,0.003918434542452074
2011-02-10,-0.0004397169377621486,1.4353083466062834e-05,,,1.0360355570263942,1.0020970895202401,-0.0004540700212282114
2011-02-11,-0.04836718134286342,0.00029260538825719515,,,0.985925437362044,1.0023903085281907,-0.04865978673112062
2011-02-14,0.0019239225594932588,3.24128887435909e-05,,,0.9878222815529631,1.0024227988937386,0.0018915096707496678
2011-02-15,0.003215987568631552,-5.187061663239572e-05,,,0.9909991057304547,1.0023708026050338,0.0032678581852639476
2011-02-16,-0.03313182159829154,0.00027831812938118724,,,0.9581655001553269,1.0026497805717611,-0.033410139727672726
2011-02-17,-0.014738404483611139,0.00016026725959760997,,,0.9440436694517961,1.0028104725044293,-0.014898671743208748
2011-02-18,-0.013649270268968354,0.0001063401775394465,,,0.9311581622617399,1.002917111548114,-0.013755610446507801
2011-02-21,-0.029481021068138706,-0.00021443855142289065,,,0.9037066688623322,1.0027020474555164,-0.029266582516715815
2011-02-22,-0.024321861912479616,-0.0007188633026259001,,,0.8817268400528756,1.0019812417501328,-0.023602998609853716
2011-02-23,-0.01743297504195138,-0.00029568829060955395,,,0.8663557180564151,1.001684967629537,-0.017137286751341827
2011-02-24,-0.019193085495285343,-4.295663799420555e-05,,,0.849727678690429,1.0016419386109983,-0.019150128857291136
