date,ret_dqn,ret_long,rolling_sharpe_dqn_252,rolling_sharpe_long_252,wealth_dqn,wealth_long,alpha_daily
2011-01-03,-0.0016826876517354581,0.0024480448258759353,,,0.9983173123482646,1.002448044825876,-0.004130732477611393
2011-01-04,-0.007389381284369681,-0.001342221099469728,,,0.9909403650845361,1.0011025379089884,-0.006047160184899953
2011-01-05,0.0009467042653791021,-0.0013918790430850808,,,0.9918784925548979,0.9997091242664935,0.002338583308464183
2011-01-06,0.0030870381967104837,-0.000447045573347125,,,0.9949404593479105,0.9992622087278555,0.0035340837700576088
2011-01-07,-0.0018941923464276412,0.0003201315160264529,,,0.9930558507446625,0.9995821040536434,-0.002214323862454094
2011-01-10,0.00823325702012394,0.002030191809096983,,,1.0012319347991812,1.0016114474538131,0.006203065211026957
2011-01-11,0.007878076888770619,0.0040947440943082825,,,1.0091197169650217,1.0057127900130662,0.0037833327944623366
2011-01-12,-0.004338753242241636,0.002140832240088958,,,1.0047413955212297,1.007865852378196,-0.006479585482330594
2011-01-13,0.003550747173023533,-0.0014155767534378622,,,1.0083089781909964,1.0064391409069857,0.004966323926461395
2011-01-14,0.004575082393337892,0.0006831862334964349,,,1.0129220748441625,1.0071267262729053,0.003891896159841457
2011-01-18,0.01128370968908992,0.0008417034422776824,,,1.0243515934743745,1.007974428305219,0.010442006246812238
2011-01-19,-7.759664781959927e-06,-0.00010409756652503353,,,1.0243436448493903,1.0078695006201128,9.63379017430736e-05
2011-01-20,0.006432611742181168,0.0017918577725450514,,,1.0309328498072772,1.00967545941851,0.004640753969636116
2011-01-21,0.0031991220451637915,0.0022454441204016193,,,1.034230929814179,1.011942629242375,0.0009536779247621722
2011-01-24,0.005591874542811587,-0.0010161163693756601,,,1.0400142194219952,1.0109143777719327,0.006607990912187247
2011-01-25,-0.007625438816966236,-0.0030073812071785247,,,1.0320836546230179,1.0078741728701548,-0.004618057609787712
2011-01-26,0.008346867225676473,0.002201855778638809,,,1.0406983198539472,1.0100933664418297,0.006145011447037664
2011-01-27,-0.0020875371755854806,-0.00219132802461513,,,1.0385258234226826,1.0078799205404678,0.00010379084902964941
2011-01-28,-0.0014402854909308573,0.0005763317933217778,,,1.0370300497472498,1.008460793782526,-0.002016617284252635
2011-01-31,0.009246875635174857,0.004707284115424775,,,1.0466193376472017,1.013207905258127,0.004539591519750082
2011-02-01,0.00772823548732425,-0.00011539075261464025,,,1.0547078583541267,1.0130909904353842,0.007843626239938891
2011-02-02,0.0004592756082382417,0.0007648209139768,,,1.055192259947286,1.0138658236126306,-0.0003055453057385583
2011-02-03,0.0059980107360103506,-0.0008066415393963969,,,1.0615213144510047,1.0130479973239304,0.006804652275406747
2011-02-04,-0.004235051490491795,-0.0004750109297326176,,,1.0570257170260502,1.0125667884528577,-0.003760040560759177
2011-02-07,0.0,-0.0027684280213223864,,,1.0570257170260502,1.0097635701822445,0.0027684280213223864
