ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CA,1,32,36288,17.839344,0.002581,23.76784,0.002204
EN,1,32,35424,3.410654,0.002621,11.502719,0.001705
ER,1,32,35456,15.854941,0.002565,22.151831,0.003696
ES,1,32,35456,18.697321,0.002563,25.010249,0.002062
LX,1,32,35744,14.213836,0.002587,19.209589,0.002277
MD,1,32,35392,17.139586,0.002583,24.714148,0.001581
SC,1,32,35424,18.521288,0.002591,24.814621,0.001975
SP,1,32,35392,18.412475,0.002563,25.568345,0.001702
XU,1,32,36032,16.69748,0.002566,21.411542,0.001813
XX,1,32,36032,15.151925,0.002563,21.349745,0.002012
YM,1,32,35456,15.002217,0.002577,21.797359,0.001926
