ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CA,1,50,56700,20.621531,0.002324,30.612468,0.002121
EN,1,50,55350,4.373755,0.002379,10.463837,0.002317
ER,1,50,55400,19.091167,0.002339,26.084737,0.001596
ES,1,50,55400,21.63368,0.002322,28.938714,0.001773
LX,1,50,55850,17.078474,0.00237,21.938367,0.001475
MD,1,50,55300,20.185553,0.002423,26.705937,0.001971
SC,1,50,55350,21.732922,0.002315,28.606549,0.00177
SP,1,50,55300,21.802007,0.002354,28.909249,0.001284
XU,1,50,56300,20.085724,0.002357,25.753382,0.002335
XX,1,50,56300,18.08924,0.002378,23.700189,0.001473
YM,1,50,55400,17.47268,0.002364,24.037549,0.001378
