ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,2,32,48000,-2.227271,0.001904,-3.824939,0.002427
DA,2,32,48000,-2.906227,0.001919,-6.024455,0.004493
GI,2,32,48000,-1.865525,0.00177,-2.27253,0.002697
JO,2,32,48000,-0.706159,0.001929,-0.37042,0.002518
KC,2,32,48000,-2.154452,0.001876,-3.530132,0.002973
KW,2,32,48000,-3.3494,0.001881,-3.584746,0.002977
LB,2,32,48000,-1.361604,0.001888,-3.190652,0.002095
NR,2,32,48000,-1.091876,0.001852,4.952999,0.003459
SB,2,32,48000,-0.876534,0.001904,-2.988363,0.002634
ZC,2,32,48000,-1.314916,0.001918,-4.827422,0.005071
ZF,2,32,48000,-8.322271,0.001718,-13.228308,0.003962
ZG,2,32,48000,-1.767499,0.001906,-2.751873,0.002216
ZH,2,32,48000,-1.197077,0.001914,-3.605914,0.003824
ZI,2,32,48000,-1.673145,0.001921,-3.287486,0.00213
ZK,2,32,48000,-2.585141,0.001952,-2.133266,0.003727
ZL,2,32,48000,-1.915,0.001786,-2.10009,0.002708
ZN,2,32,48000,-4.674192,0.001762,-2.070625,0.00169
ZO,2,32,48000,-0.579763,0.001757,-2.178979,0.004527
ZP,2,32,48000,-1.380764,0.001781,-2.078355,0.001818
ZR,2,32,48000,-3.385849,0.001683,-5.265778,0.003549
ZT,2,32,48000,-4.951033,0.001732,-10.886658,0.002465
ZU,2,32,48000,-1.572529,0.001745,-4.094487,0.002332
ZW,2,32,48000,-3.849995,0.001818,-2.749132,0.003264
ZZ,2,32,48000,-3.550575,0.001896,-6.651541,0.003904
