metric,cost_bp,Commodity Project A2C,Commodity Paper Table 3 A2C,Commodity Difference,Equity Index Project A2C,Equity Index Paper Table 3 A2C,Equity Index Difference,Fixed Income Project A2C,Fixed Income Paper Table 3 A2C,Fixed Income Difference,Forex Project A2C,Forex Paper Table 3 A2C,Forex Difference,All Project A2C,All Paper Table 3 A2C,All Difference
E(R),20,-0.2355937714618537,0.072,-0.3075937714618537,0.5480360591835226,0.293,0.2550360591835226,0.4751735856942463,0.852,-0.3768264143057537,-0.2530350115794147,0.159,-0.4120350115794147,0.023938563559998696,0.214,-0.19006143644000129
Std(R),20,0.3714936866226316,0.163,0.2084936866226316,0.8521257122587855,0.629,0.22312571225878552,0.9277277290510927,1.345,-0.4172722709489073,0.4467127277462438,0.455,-0.008287272253756195,0.3402633617080455,0.221,0.1192633617080455
DD,20,0.24894426496713848,0.098,0.15094426496713848,0.6714847624924677,0.427,0.2444847624924677,0.6058225415276021,0.806,-0.20017745847239798,0.2918414209183057,0.267,0.024841420918305712,0.23874919903022554,0.134,0.10474919903022553
Sharpe,20,-0.6341797450280039,0.44,-1.074179745028004,0.6431399162111978,0.466,0.1771399162111978,0.5121907762531447,0.633,-0.12080922374685532,-0.5664378824754503,0.349,-0.9154378824754503,0.07035304488803171,0.969,-0.8986469551119682
Sortino,20,-0.9463715562716535,0.729,-1.6753715562716534,0.8161556148337322,0.686,0.13015561483373217,0.784344512001947,1.057,-0.27265548799805295,-0.8670291241840069,0.592,-1.4590291241840068,0.10026657118530515,1.601,-1.5007334288146947
MDD,20,2.5658598219194158,0.099,2.4668598219194156,1.611484504994538,0.193,1.418484504994538,2.112487794730203,0.128,1.984487794730203,2.9496987062330375,0.081,2.8686987062330376,1.131577538514901,0.009,1.122577538514901
Calmar,20,-0.09181864474794868,0.161,-0.2528186447479487,0.3400814947242574,0.214,0.12608149472425742,0.22493554134590074,0.397,-0.17206445865409928,-0.08578334154763805,0.193,-0.27878334154763806,0.021155035996398463,0.672,-0.6508449640036016
% + Ret,20,0.4969640354974311,0.487,0.009964035497431134,0.5473588342440802,0.533,0.014358834244080132,0.5218778486782133,0.517,0.004877848678213281,0.48751702224239674,0.507,-0.01948297775760327,0.5181488203266787,0.538,-0.019851179673321284
Ave P/L,20,0.9126948524751315,1.151,-0.23830514752486853,0.9232841587322754,0.965,-0.04171584126772454,0.9960609812608251,1.039,-0.04293901873917483,0.9569495949271946,1.034,-0.07705040507280547,0.9407845929437477,1.014,-0.07321540705625229
