cost_bp,Commodity,Equity Index,Fixed Income,Forex,All
1,-0.5331023538424617,0.7166821294058168,0.7980293176870236,-0.35360718238471406,0.2890220382093227
5,-0.5543187865867715,0.7011348284715355,0.7377940368478224,-0.3983768139407003,0.24296355140815903
10,-0.5808398287533484,0.6817029045896054,0.6625033176399701,-0.4543267086544513,0.1854020915029086
15,-0.6073613854041515,0.6622735511411618,0.5872223013211407,-0.5102618095107594,0.1278543507816414
20,-0.6338834110558932,0.6428469002628371,0.5119573485649773,-0.5661807258023038,0.07032115982042325
25,-0.6604058602186716,0.6234230839498777,0.4367148077153412,-0.6220820689245966,0.012803347903651393
30,-0.6869286873963586,0.60400223405177,0.3615010121295383,-0.677964452547362,-0.044698257034807655
35,-0.7134518470869918,0.5845844822678525,0.2863222775385745,-0.7338264927852443,-0.10218282847023646
40,-0.7399752937831614,0.56516996014296,0.21118489942697447,-0.7896668083677884,-0.15964954134543033
45,-0.7664989819724066,0.5457587990630731,0.1360951504346735,-0.8454840208086611,-0.21709757212880007
