ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CA,2,23,34500,17.84486,0.002856,25.495053,0.002298
EN,2,23,34500,-0.152412,0.002853,6.80767,0.002404
ER,2,23,34500,15.652443,0.002785,23.841022,0.001962
ES,2,23,34500,22.136511,0.002751,31.39282,0.002429
LX,2,23,34500,14.350296,0.00284,23.215937,0.001799
MD,2,23,34500,17.979044,0.002764,29.328733,0.001858
SC,2,23,34500,22.005896,0.002738,31.941466,0.003582
SP,2,23,34500,21.760804,0.002778,28.44836,0.003276
XU,2,23,34500,17.173519,0.002821,25.213779,0.002345
XX,2,23,34500,13.276034,0.002836,19.769069,0.003125
YM,2,23,34500,15.311319,0.002891,25.571889,0.002929
