ticker,round,episodes_seen,transitions_added,avg_reward,avg_loss,last_reward,last_loss
CC,1,52,57200,5.554445,0.002593,10.464641,0.002478
DA,1,52,57200,8.376355,0.002593,14.320811,0.002478
GI,1,52,57512,6.990982,0.002593,10.516109,0.002478
JO,1,52,57200,6.250016,0.002593,14.539706,0.002478
KC,1,52,57200,3.682961,0.002593,10.548554,0.002478
KW,1,52,57512,3.596124,0.002593,7.456143,0.002478
LB,1,52,57512,6.556791,0.002593,13.059268,0.002478
NR,1,52,57512,8.1536,0.002593,13.680882,0.002478
SB,1,52,57200,5.817874,0.002593,10.680364,0.002478
ZC,1,52,57512,6.463738,0.002593,13.080288,0.002478
ZF,1,52,57512,0.019351,0.002593,2.535471,0.002478
ZG,1,52,57460,4.229166,0.002593,9.777365,0.002478
ZH,1,52,57356,8.764567,0.002593,14.822301,0.002478
ZI,1,52,57460,6.07763,0.002593,12.592362,0.002478
ZK,1,52,57408,4.600786,0.002593,11.076465,0.002478
ZL,1,52,57512,7.108351,0.002593,13.265712,0.002478
ZN,1,52,57304,2.933751,0.002593,4.75097,0.002478
ZO,1,52,57460,7.120878,0.002593,14.107338,0.002478
ZP,1,52,57460,7.037076,0.002593,13.323144,0.002478
ZR,1,52,57512,3.89636,0.002593,8.789424,0.002478
ZT,1,52,57512,-0.294336,0.002593,1.027749,0.002478
ZU,1,52,57252,6.309121,0.002593,10.291399,0.002478
ZW,1,52,57512,3.389236,0.002593,6.830204,0.002478
ZZ,1,52,57512,3.564912,0.002593,7.645068,0.002478
