cost_bp,bp_decimal,asset_class,final_cumulative_reward
1,0.0001,Commodity,-1.683477784617639
1,0.0001,Equity Index,5.3221192455754975
1,0.0001,Fixed Income,6.444036207873472
1,0.0001,Forex,-1.381009862703733
1,0.0001,All,0.8600896346755493
5,0.0005,Commodity,-1.7504534429101946
5,0.0005,Equity Index,5.207092625760965
5,0.0005,Fixed Income,5.958350094781629
5,0.0005,Forex,-1.5559652888592126
5,0.0005,All,0.7230954877649384
10,0.001,Commodity,-1.8341730157758855
10,0.001,Equity Index,5.063309350992782
10,0.001,Fixed Income,5.351242453416815
10,0.001,Forex,-1.7746595715535638
10,0.001,All,0.5518528041266756
15,0.0015,Commodity,-1.9178925886415703
15,0.0015,Equity Index,4.919526076224601
15,0.0015,Fixed Income,4.744134812052005
15,0.0015,Forex,-1.9933538542479157
15,0.0015,All,0.38061012048841125
20,0.002,Commodity,-2.001612161507259
20,0.002,Equity Index,4.775742801456414
20,0.002,Fixed Income,4.137027170687206
20,0.002,Forex,-2.212048136942265
20,0.002,All,0.2093674368501478
25,0.0025,Commodity,-2.0853317343729443
25,0.0025,Equity Index,4.6319595266882265
25,0.0025,Fixed Income,3.5299195293224073
25,0.0025,Forex,-2.4307424196366147
25,0.0025,All,0.03812475321188439
30,0.003,Commodity,-2.169051307238625
30,0.003,Equity Index,4.488176251920036
30,0.003,Fixed Income,2.9228118879575877
30,0.003,Forex,-2.6494367023309686
30,0.003,All,-0.1331179304263793
35,0.0035,Commodity,-2.2527708801043116
35,0.0035,Equity Index,4.344392977151861
35,0.0035,Fixed Income,2.3157042465927966
35,0.0035,Forex,-2.868130985025318
35,0.0035,All,-0.3043606140646427
40,0.004,Commodity,-2.3364904529700037
40,0.004,Equity Index,4.200609702383666
40,0.004,Fixed Income,1.7085966052279888
40,0.004,Forex,-3.0868252677196613
40,0.004,All,-0.47560329770290755
45,0.0045,Commodity,-2.420210025835687
45,0.0045,Equity Index,4.056826427615478
45,0.0045,Fixed Income,1.1014889638631853
45,0.0045,Forex,-3.305519550414016
45,0.0045,All,-0.646845981341173
