cost_bp,bp_decimal,asset_class,annualized_sharpe
1,0.0001,Commodity,-0.5331023538424617
1,0.0001,Equity Index,0.7166821294058168
1,0.0001,Fixed Income,0.7980293176870236
1,0.0001,Forex,-0.35360718238471406
1,0.0001,All,0.2890220382093227
5,0.0005,Commodity,-0.5543187865867715
5,0.0005,Equity Index,0.7011348284715355
5,0.0005,Fixed Income,0.7377940368478224
5,0.0005,Forex,-0.3983768139407003
5,0.0005,All,0.24296355140815903
10,0.001,Commodity,-0.5808398287533484
10,0.001,Equity Index,0.6817029045896054
10,0.001,Fixed Income,0.6625033176399701
10,0.001,Forex,-0.4543267086544513
10,0.001,All,0.1854020915029086
15,0.0015,Commodity,-0.6073613854041515
15,0.0015,Equity Index,0.6622735511411618
15,0.0015,Fixed Income,0.5872223013211407
15,0.0015,Forex,-0.5102618095107594
15,0.0015,All,0.1278543507816414
20,0.002,Commodity,-0.6338834110558932
20,0.002,Equity Index,0.6428469002628371
20,0.002,Fixed Income,0.5119573485649773
20,0.002,Forex,-0.5661807258023038
20,0.002,All,0.07032115982042325
25,0.0025,Commodity,-0.6604058602186716
25,0.0025,Equity Index,0.6234230839498777
25,0.0025,Fixed Income,0.4367148077153412
25,0.0025,Forex,-0.6220820689245966
25,0.0025,All,0.012803347903651393
30,0.003,Commodity,-0.6869286873963586
30,0.003,Equity Index,0.60400223405177
30,0.003,Fixed Income,0.3615010121295383
30,0.003,Forex,-0.677964452547362
30,0.003,All,-0.044698257034807655
35,0.0035,Commodity,-0.7134518470869918
35,0.0035,Equity Index,0.5845844822678525
35,0.0035,Fixed Income,0.2863222775385745
35,0.0035,Forex,-0.7338264927852443
35,0.0035,All,-0.10218282847023646
40,0.004,Commodity,-0.7399752937831614
40,0.004,Equity Index,0.56516996014296
40,0.004,Fixed Income,0.21118489942697447
40,0.004,Forex,-0.7896668083677884
40,0.004,All,-0.15964954134543033
45,0.0045,Commodity,-0.7664989819724066
45,0.0045,Equity Index,0.5457587990630731
45,0.0045,Fixed Income,0.1360951504346735
45,0.0045,Forex,-0.8454840208086611
45,0.0045,All,-0.21709757212880007
