cost_bp,Commodity,Equity Index,Fixed Income,Forex,All
1,-1.683477784617639,5.3221192455754975,6.444036207873472,-1.381009862703733,0.8600896346755493
5,-1.7504534429101946,5.207092625760965,5.958350094781629,-1.5559652888592126,0.7230954877649384
10,-1.8341730157758855,5.063309350992782,5.351242453416815,-1.7746595715535638,0.5518528041266756
15,-1.9178925886415703,4.919526076224601,4.744134812052005,-1.9933538542479157,0.38061012048841125
20,-2.001612161507259,4.775742801456414,4.137027170687206,-2.212048136942265,0.2093674368501478
25,-2.0853317343729443,4.6319595266882265,3.5299195293224073,-2.4307424196366147,0.03812475321188439
30,-2.169051307238625,4.488176251920036,2.9228118879575877,-2.6494367023309686,-0.1331179304263793
35,-2.2527708801043116,4.344392977151861,2.3157042465927966,-2.868130985025318,-0.3043606140646427
40,-2.3364904529700037,4.200609702383666,1.7085966052279888,-3.0868252677196613,-0.47560329770290755
45,-2.420210025835687,4.056826427615478,1.1014889638631853,-3.305519550414016,-0.646845981341173
