date,regime,regime_prob_0,regime_prob_1,regime_prob_2
2004-04-05,1,1.070627010089839e-06,0.9999989293729687,4.923436938985227e-22
2004-04-06,1,1.2136895594678908e-10,0.9999999998785825,3.1480512104948006e-27
2004-04-07,1,6.51940769555619e-08,0.999999934805944,3.7973120254943293e-28
2004-04-08,0,0.9863947381308381,0.013605261869125128,2.246149250660812e-18
2004-04-12,0,0.9999897754280236,1.0224569220964432e-05,2.7584724796942838e-12
2004-04-13,0,0.999999816900316,1.8204993038227198e-07,1.049766438798612e-09
2004-04-14,0,0.9999643044704949,2.433383583491563e-15,3.569552952738951e-05
2004-04-15,2,5.5728263280773755e-05,2.0582621023074658e-10,0.9999442715308481
2004-04-16,2,1.809564500070097e-15,0.20710769452620056,0.7928923054738184
2004-04-19,1,6.964858227625857e-24,0.9999925779041267,7.4220958418530275e-06
2004-04-20,1,3.0620723742709126e-28,0.999999999802867,1.971265766957427e-10
2004-04-21,1,5.274361665873703e-28,0.9999999999743068,2.5692380295992476e-11
2004-04-22,1,3.541791333033965e-33,1.0,4.163743931018896e-15
2004-04-23,1,4.743296996358091e-34,1.0,1.065900617371192e-18
2004-04-26,1,1.5819566387169703e-29,1.0,2.8438307587253473e-18
2004-04-27,1,1.3540924416757426e-27,1.0,4.420952957441989e-20
2004-04-28,1,1.001862629817336e-27,1.0,9.691843955089452e-27
2004-04-29,1,1.4998024835144442e-16,1.0,3.3729123251032667e-25
2004-04-30,1,4.3811562977318015e-13,0.9999999999995453,3.708078018100375e-26
2004-05-03,1,6.596173024879534e-13,0.9999999999993179,6.3716366396211874e-24
2004-05-04,1,4.608172966568311e-11,0.9999999999539568,4.700474474768731e-19
2004-05-05,1,1.0596821956907675e-17,1.0,9.739239323345709e-16
2004-05-06,1,9.19667955277699e-21,0.999999999981128,1.8925542783554236e-11
2004-05-07,1,2.1760661543890486e-19,0.9999998637492902,1.3625074740160773e-07
2004-05-10,1,4.7777118073381404e-18,0.9999998422945406,1.5770546903390342e-07
2004-05-11,1,2.6992094785007415e-15,0.9999888853323364,1.1114667632499268e-05
2004-05-12,1,1.1977166973275737e-13,0.8445191527690116,0.15548084723082262
2004-05-13,2,1.425730760231766e-12,0.02274464600853361,0.9772553539900095
2004-05-14,2,1.8303991842784926e-11,0.00011321561129770365,0.9998867843703968
2004-05-17,2,9.36964206676992e-11,2.3310487933159074e-10,0.9999999996731503
2004-05-18,2,1.422585652046525e-05,2.921319920541813e-14,0.9999857741434043
2004-05-19,2,1.2755823502502722e-07,2.089057614676053e-13,0.9999998724415572
2004-05-20,2,3.0319686465143583e-09,2.926016382728253e-11,0.9999999969387545
2004-05-21,2,4.4183876354790814e-07,6.952385111371098e-10,0.9999995574660103
2004-05-24,2,9.620836650430842e-06,4.509862928421575e-05,0.9999452805340296
2004-05-25,2,0.07253926169374024,0.0008549352669330784,0.9266058030393689
2004-05-26,0,0.9904065884736116,8.703470844894428e-05,0.009506376817968544
2004-05-27,0,0.9998059061196682,2.667681437141796e-08,0.0001940672034674241
2004-05-28,0,0.9958304189247108,1.4391715518051002e-11,0.004169581060893894
2004-06-01,0,0.9883322778540123,1.9261122176354615e-14,0.011667722145978597
2004-06-02,0,0.99997658855916,2.349934856385093e-15,2.3411440848931175e-05
2004-06-03,0,0.999999994374889,7.325304826275207e-14,5.625039161074852e-09
2004-06-04,0,0.9999999999766942,1.8130677374172574e-11,5.167121294798965e-12
2004-06-07,0,0.9999999999980673,1.8973312432366654e-12,5.653322382491472e-14
2004-06-08,0,0.9999999999995453,3.8943390692423e-15,4.004851625080555e-13
2004-06-09,0,1.0,2.385275948639678e-19,3.379135741744834e-14
2004-06-10,0,1.0,5.478061628275153e-19,4.723961771651079e-15
2004-06-14,0,0.9999999999976126,7.423439117776489e-18,2.354794071713371e-12
2004-06-15,0,0.9999999999998863,2.368307747154112e-16,7.966341134064924e-14
2004-06-16,0,1.0,8.306424205900817e-17,3.288867574357545e-18
2004-06-17,0,1.0,7.093097033863805e-15,1.7886494175624397e-20
2004-06-18,0,0.9999999999992042,7.918313983046685e-13,3.0551166356101614e-24
2004-06-21,0,0.9999999999263309,7.362212586543317e-11,1.7494908429974045e-24
2004-06-22,0,0.999999999996021,3.972467979946099e-12,3.082900496846375e-29
2004-06-23,0,0.9999999999922693,7.754529356407313e-12,7.13571195898354e-34
2004-06-24,0,1.0,4.585150838255666e-18,1.9866128973329232e-35
2004-06-25,0,1.0,2.1122369556827292e-23,1.118803735043499e-33
2004-06-28,0,1.0,2.9119102851082174e-32,7.314970353013159e-27
2004-06-29,0,1.0,1.404142375877068e-37,1.276417380612862e-21
2004-06-30,0,1.0,7.36884198935702e-41,5.531361286431077e-20
2004-07-01,0,1.0,1.0229014667654727e-43,1.3369776063142994e-17
2004-07-02,0,1.0,1.3533344267368769e-45,1.2792381653014857e-17
2004-07-06,0,1.0,1.0482827882979288e-47,1.3337035002647694e-17
2004-07-07,0,1.0,5.450921251544998e-45,5.158075248015434e-17
2004-07-08,0,1.0,6.097561446737305e-40,2.338349475788298e-15
2004-07-09,0,1.0,2.8104519149188745e-36,3.3360608665735553e-15
2004-07-12,0,1.0,2.007845830983826e-36,1.1332803027321968e-15
2004-07-13,0,1.0,2.9316541654327254e-39,1.7343422237388025e-17
2004-07-14,0,1.0,2.5088183595179684e-45,5.14647682133217e-20
2004-07-15,0,1.0,1.751148190722308e-45,2.41706526788683e-20
2004-07-16,0,1.0,3.6482526662322596e-45,1.3056816246296985e-26
2004-07-19,0,1.0,3.67997716628383e-44,5.886131663885035e-34
2004-07-20,0,1.0,8.153893441325572e-46,6.92265362069761e-37
2004-07-21,0,1.0,1.1856666001451412e-43,7.627917307081336e-37
2004-07-22,0,1.0,9.413208523373176e-39,5.236608321043676e-35
2004-07-23,0,1.0,5.754791320793167e-35,4.193693287833227e-33
2004-07-26,0,1.0,7.608660516005013e-31,5.3238640407193255e-28
2004-07-27,0,1.0,1.5689649154178798e-30,1.327528454196256e-24
2004-07-28,0,1.0,1.847807754464778e-28,8.73497979657451e-22
2004-07-29,0,1.0,4.081088948272143e-28,2.0716226437566527e-16
2004-07-30,0,0.9999999999995453,8.135468004309657e-30,4.0861254435631366e-13
2004-08-02,0,0.9999999999970441,2.4813972251560002e-33,2.975987481332878e-12
2004-08-03,0,0.9999999999996589,5.62941805660766e-32,3.26323509293117e-13
2004-08-04,0,1.0,2.4265932925033927e-29,1.1347699865023559e-14
2004-08-05,0,1.0,3.8274131393256217e-25,1.593490441245685e-17
2004-08-06,0,1.0,7.429807936810591e-20,1.8224890855230702e-17
2004-08-09,0,1.0,2.1285278258631533e-17,2.42361557769778e-18
2004-08-10,0,1.0,3.0715742115156716e-18,2.7528115223428355e-20
2004-08-11,0,1.0,3.501003718319483e-18,1.127105226929497e-19
2004-08-12,0,1.0,1.2027411354225292e-16,6.333110486017943e-19
2004-08-13,0,1.0,4.480686390291845e-15,3.6445037295625016e-17
2004-08-16,0,0.9999999999994316,9.996606717379634e-16,6.214586019532117e-13
2004-08-17,0,0.9999999982136387,1.2792898616798326e-20,1.7863776685385881e-09
